iso,t_s,vDcInst,set_freq,iq_shed
11:35:07.709,1788770107.71,468.52,46.44,0.9999
11:35:07.789,1788770107.79,469.25,46.44,0.9999
11:35:07.869,1788770107.87,470.7,46.44,0.9999
11:35:07.949,1788770107.95,468.76,46.44,0.9999
11:35:08.029,1788770108.03,470.21,46.43,0.9999
11:35:08.109,1788770108.11,469.25,46.47,0.9999
11:35:08.189,1788770108.19,468.76,46.47,0.9999
11:35:08.269,1788770108.27,469.25,46.47,0.9999
11:35:08.349,1788770108.35,469.49,46.47,0.9999
11:35:08.429,1788770108.43,470.21,46.47,0.9999
11:35:08.509,1788770108.51,469.97,46.47,0.9999
11:35:08.589,1788770108.59,470.21,46.47,0.9999
11:35:08.669,1788770108.67,469.25,46.47,0.9999
11:35:08.749,1788770108.75,468.28,46.47,0.9999
11:35:08.829,1788770108.83,469.49,46.47,0.9999
11:35:08.909,1788770108.91,469.49,46.67,0.9999
11:35:08.989,1788770108.99,468.76,46.67,0.9999
11:35:09.069,1788770109.07,470.21,46.67,0.9999
11:35:09.149,1788770109.15,468.76,46.67,0.9999
11:35:09.229,1788770109.23,469.01,46.67,0.9999
11:35:09.309,1788770109.31,469.25,46.67,0.9999
11:35:09.389,1788770109.39,468.76,46.67,0.9999
11:35:09.469,1788770109.47,469.73,46.67,0.9999
11:35:09.549,1788770109.55,469.01,46.67,0.9999
11:35:09.629,1788770109.63,469.49,46.67,0.9999
11:35:09.709,1788770109.71,469.97,46.87,0.9999
11:35:09.789,1788770109.79,469.01,46.87,0.9999
11:35:09.869,1788770109.87,469.25,46.87,0.9999
11:35:09.949,1788770109.95,469.01,46.87,0.9999
11:35:10.029,1788770110.03,469.01,46.87,0.9999
11:35:10.109,1788770110.11,469.97,46.87,0.9999
11:35:10.189,1788770110.19,469.73,46.87,0.9999
11:35:10.269,1788770110.27,469.97,46.87,0.9999
11:35:10.349,1788770110.35,468.76,46.87,0.9999
11:35:10.429,1788770110.43,469.73,46.87,0.9999
11:35:10.509,1788770110.51,470.21,47.07,0.9999
11:35:10.589,1788770110.59,468.52,47.07,0.9999
11:35:10.669,1788770110.67,470.21,47.07,0.9999
11:35:10.749,1788770110.75,469.49,47.07,0.9999
11:35:10.829,1788770110.83,468.28,47.07,0.9999
11:35:10.909,1788770110.91,469.25,47.07,0.9999
11:35:10.989,1788770110.99,469.25,46.95,0.9999
11:35:11.069,1788770111.07,469.25,46.95,0.9999
11:35:11.149,1788770111.15,470.46,46.95,0.9999
11:35:11.229,1788770111.23,470.21,46.95,0.9999
11:35:11.309,1788770111.31,469.25,47.15,0.9999
11:35:11.389,1788770111.39,468.28,47.06,0.9999
11:35:11.469,1788770111.47,469.73,47.06,0.9999
11:35:11.549,1788770111.55,469.97,47.06,0.9999
11:35:11.629,1788770111.63,469.25,47.06,0.9999
11:35:11.709,1788770111.71,470.46,46.77,0.9999
11:35:11.789,1788770111.79,469.73,46.77,0.9999
11:35:11.869,1788770111.87,468.28,46.77,0.9999
11:35:11.949,1788770111.95,468.52,46.77,0.9999
11:35:12.029,1788770112.03,468.76,46.69,0.9999
11:35:12.109,1788770112.11,469.73,46.75,0.9999
11:35:12.189,1788770112.19,470.46,46.75,0.9999
11:35:12.269,1788770112.27,469.73,46.75,0.9999
11:35:12.349,1788770112.35,469.25,46.75,0.9999
11:35:12.429,1788770112.43,469.01,46.75,0.9999
11:35:12.509,1788770112.51,469.49,46.71,0.9999
11:35:12.589,1788770112.59,469.97,46.71,0.9999
11:35:12.669,1788770112.67,468.76,46.71,0.9999
11:35:12.749,1788770112.75,469.97,46.71,0.9999
