t_to_trip_s,vDcInst,set_freq,iq_shed
-3.76,430.32,10.06,0.9999
-3.68,427.18,10.06,0.9983
-3.6,427.42,10.06,0.9987
-3.52,427.67,10.06,0.9982
-3.44,427.67,9.86,0.9968
-3.36,431.78,9.86,0.9976
-3.28,429.84,9.86,0.9981
-3.2,430.81,9.86,0.9986
-3.12,431.78,9.86,0.9989
-3.04,432.98,9.86,0.9991
-2.96,434.68,9.86,0.9993
-2.88,430.57,10.06,0.9995
-2.8,430.57,10.06,0.9996
-2.72,430.32,10.06,0.9997
-2.64,430.32,10.06,0.9997
-2.56,430.81,10.06,0.9998
-2.48,427.42,10.06,0.9997
-2.4,428.15,10.06,0.9998
-2.32,428.15,10.06,0.9994
-2.24,428.15,10.06,0.9982
-2.16,429.12,10.06,0.9956
-2.08,424.52,10.26,0.9849
-2.0,422.35,10.26,0.974
-1.92,421.14,10.26,0.9637
-1.84,418.48,10.26,0.9499
-1.76,417.75,10.26,0.9337
-1.68,414.13,10.26,0.9099
-1.6,409.29,10.26,0.8897
-1.52,407.36,10.26,0.8789
-1.44,403.73,10.26,0.8529
-1.36,400.1,10.26,0.8335
-1.28,397.45,10.06,0.8031
-1.2,393.09,9.86,0.7855
-1.12,392.37,9.86,0.7852
-1.04,389.47,9.86,0.7663
-0.96,387.05,9.86,0.7507
-0.88,384.15,9.86,0.7209
-0.8,376.65,9.86,0.687
-0.72,373.03,10.06,0.6653
-0.64,363.84,10.06,0.6067
-0.56,357.56,9.86,0.5689
-0.48,351.03,9.86,0.5193
-0.4,337.97,9.86,0.4475
-0.32,327.82,9.86,0.3829
-0.24,310.65,9.86,0.2772
-0.16,293.25,9.86,0.1703
-0.08,267.38,9.86,0.1
0.0,227.49,9.86,0.1
