iso,t_s,sts,mode,hz,P_W,VDC,IDC,drive_C,Q_m3h,vel_ms,QperP,bore_mm,M91_pct,transit_us,pos_total,fault,mod_idx,headroom_pct,panel_C,f_rot,f_slip,foc_id,foc_iq,psir,foc_md,te_Nm,p_est_W,foc_idref,foc_iqref,v_dem,vlim,v_left,on_ceiling,stop_r,f_uv_n,f_oc_n,idq_pk,mppt_voc,mppt_vhold,mppt_vratio,run_kwh,rpm,ps_spread,ps_flags,ps_ru,ps_rv,ps_rw,ps_leak,foc_rs,foc_rr,foc_lm,foc_sigls,tune_sts,shed,shed_min,cap_state,resets
2026-09-07 05:43:18,0.0,OFF,MPPT,5.0,34.5,456.9,0.08,27.2,-0.7223,-0.02074,,111.0,,180.497,4468.7964,0,0.2,90.1,0.0,,,,,,,,,,,,,,,0,97,40,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,231
2026-09-07 05:43:21,3.6,OFF,MPPT,5.0,34.9,457.0,0.08,27.1,-0.7236,-0.02077,,111.0,,180.517,4468.7964,0,0.2,90.1,0.0,,,,,,,,,,,,,,,0,97,40,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,231
2026-09-07 05:43:25,7.2,OFF,MPPT,5.0,33.1,457.3,0.07,27.0,-0.7273,-0.02088,,111.0,,180.527,4468.7964,0,0.2,90.1,0.0,,,,,,,,,,,,,,,0,97,40,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,231
2026-09-07 05:43:29,10.7,OFF,MPPT,5.0,34.4,457.4,0.08,27.0,-0.7323,-0.02102,,111.0,,180.537,4468.7964,0,0.2,90.1,0.0,,,,,,,,,,,,,,,0,97,40,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,231
2026-09-07 05:43:32,14.3,OFF,MPPT,5.0,33.1,457.7,0.07,26.9,-0.7354,-0.02111,,111.0,,180.54,4468.7964,0,0.2,90.1,0.0,,,,,,,,,,,,,,,0,97,40,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,231
2026-09-07 05:43:36,17.8,OFF,MPPT,5.0,37.8,457.9,0.08,26.8,-0.7371,-0.02116,,111.0,,180.542,4468.7964,0,0.2,90.1,0.0,,,,,,,,,,,,,,,0,97,40,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,231
2026-09-07 05:43:45,27.5,OFF,MPPT,5.0,35.9,458.3,0.08,26.7,-0.7317,-0.021,,111.0,,180.52,4468.7964,0,0.2,90.1,0.0,,,,,,,,,,,,,,,0,97,40,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,231
2026-09-07 05:43:49,31.1,FAULT_UV_WAIT,MPPT,5.0,17.3,397.8,0.04,26.7,-0.7354,-0.02111,,111.0,,180.535,4468.7964,0,0.2,88.6,0.0,,,,,,,,,,,,,,,5,97,40,0.0,458.1,274.9,0.7354,0.0,,0.0,0,0.0,0.0,0.0,0.066,0.873,0.3,57.2,5.53,1,1.0,0.1,3,231
2026-09-07 05:43:53,34.7,FAULT_UV_WAIT,MPPT,5.0,49.5,458.5,0.11,26.6,-0.7407,-0.02126,,111.0,97.51,,4468.7964,0,0.2,90.1,0.0,,,,,,,,,,,,,,,5,97,40,0.0,458.1,274.9,0.7354,0.0,,0.0,0,0.0,0.0,0.0,0.066,0.873,0.3,57.2,5.53,1,1.0,0.1,3,231
2026-09-07 05:43:56,38.2,FAULT_UV_WAIT,MPPT,5.0,50.1,458.6,0.11,26.6,-0.7422,-0.0213,,111.0,,180.549,4468.7964,0,0.2,90.1,0.0,,,,,,,,,,,,,,,5,97,40,0.0,458.1,274.9,0.7354,0.0,,0.0,0,0.0,0.0,0.0,0.066,0.873,0.3,57.2,5.53,1,1.0,0.1,3,231
