file,start,end,n,dt_ms,trip,names,ch0_min,ch0_max,ch1_min,ch1_max,ch2_min,ch2_max
ring_103551.csv,10:35:31.821,10:35:51.901,252,80.0,0,vDcInst/idc_units/iq_shed,519.78,520.26,0.11,0.13,1.0,1.0
ring_103615.csv,10:35:57.285,10:36:15.685,231,80.0,0,vDcInst/idc_units/iq_shed,519.78,520.02,0.11,0.13,1.0,1.0
ring_103639.csv,10:36:20.909,10:36:39.309,231,80.0,0,vDcInst/idc_units/iq_shed,519.29,519.78,0.1,0.13,1.0,1.0
ring_103702.csv,10:36:44.390,10:37:02.790,231,80.0,0,vDcInst/idc_units/iq_shed,519.29,519.78,0.1,0.13,1.0,1.0
ring_103726.csv,10:37:07.838,10:37:26.878,239,80.0,0,vDcInst/idc_units/iq_shed,519.29,519.78,0.1,0.12,1.0,1.0
ring_103750.csv,10:37:32.326,10:37:50.726,231,80.0,0,vDcInst/idc_units/iq_shed,519.29,519.53,0.1,0.12,1.0,1.0
ring_103814.csv,10:37:55.662,10:38:14.062,231,80.0,0,vDcInst/idc_units/iq_shed,519.29,519.78,0.1,0.12,1.0,1.0
ring_103838.csv,10:38:19.270,10:38:38.230,238,80.0,0,vDcInst/idc_units/iq_shed,519.53,519.78,0.09,0.12,1.0,1.0
ring_103901.csv,10:38:43.550,10:39:01.950,231,80.0,0,vDcInst/idc_units/iq_shed,519.29,519.78,0.09,0.12,1.0,1.0
ring_103925.csv,10:39:06.999,10:39:25.399,231,80.0,0,vDcInst/idc_units/iq_shed,519.53,519.78,0.09,0.12,1.0,1.0
ring_103948.csv,10:39:30.559,10:39:48.959,231,80.0,0,vDcInst/idc_units/iq_shed,519.29,519.78,0.09,0.11,1.0,1.0
ring_104012.csv,10:39:53.991,10:40:12.951,238,80.0,0,vDcInst/idc_units/iq_shed,519.53,519.78,0.09,0.11,1.0,1.0
ring_104036.csv,10:40:18.095,10:40:36.415,230,80.0,0,vDcInst/idc_units/iq_shed,517.36,520.74,0.09,1.76,1.0,1.0
ring_104059.csv,10:40:41.447,10:40:59.767,230,80.0,0,vDcInst/idc_units/iq_shed,517.84,519.53,1.22,1.71,1.0,1.0
ring_104123.csv,10:41:04.975,10:41:23.935,238,80.0,0,vDcInst/idc_units/iq_shed,516.39,519.05,1.61,2.38,1.0,1.0
ring_104147.csv,10:41:29.256,10:41:47.736,232,80.0,0,vDcInst/idc_units/iq_shed,513.97,516.63,2.62,3.85,1.0,1.0
ring_104211.csv,10:41:52.706,10:42:11.106,231,80.0,0,vDcInst/idc_units/iq_shed,506.96,514.21,4.28,8.13,1.0,1.0
ring_104234.csv,10:42:16.296,10:42:34.696,231,80.0,0,vDcInst/idc_units/iq_shed,498.5,506.48,9.11,13.27,1.0,1.0
ring_104258.csv,10:42:39.761,10:42:58.161,231,80.0,0,vDcInst/idc_units/iq_shed,483.75,497.05,14.87,21.17,1.0,1.0
ring_104322.csv,10:43:03.225,10:43:22.185,238,80.0,0,vDcInst/idc_units/iq_shed,464.65,480.13,23.2,29.48,1.0,1.0
ring_104345.csv,10:43:27.281,10:43:45.681,231,80.0,0,vDcInst/idc_units/iq_shed,464.9,467.56,29.27,29.51,1.0,1.0
ring_104409.csv,10:43:50.666,10:44:09.146,232,80.0,0,vDcInst/idc_units/iq_shed,465.14,468.28,29.3,29.5,1.0,1.0
ring_104432.csv,10:44:14.194,10:44:32.514,230,80.0,0,vDcInst/idc_units/iq_shed,465.38,468.52,29.32,29.52,1.0,1.0
ring_104456.csv,10:44:37.723,10:44:56.123,231,80.0,0,vDcInst/idc_units/iq_shed,465.62,468.52,29.32,29.53,1.0,1.0
ring_104519.csv,10:45:01.187,10:45:19.507,230,80.0,0,vDcInst/idc_units/iq_shed,465.86,468.76,29.3,29.55,1.0,1.0
ring_104543.csv,10:45:25.403,10:45:43.723,230,80.0,0,vDcInst/idc_units/iq_shed,466.83,469.49,29.35,29.6,1.0,1.0
ring_104607.csv,10:45:48.644,10:46:07.044,231,80.0,0,vDcInst/idc_units/iq_shed,467.31,470.21,29.39,29.59,1.0,1.0
ring_104630.csv,10:46:12.268,10:46:30.588,230,80.0,0,vDcInst/idc_units/iq_shed,466.59,470.46,29.42,29.6,1.0,1.0
ring_104654.csv,10:46:35.716,10:46:54.116,231,80.0,0,vDcInst/idc_units/iq_shed,452.81,471.18,29.22,29.7,1.0,1.0
ring_104717.csv,10:46:59.324,10:47:17.724,231,80.0,0,vDcInst/idc_units/iq_shed,453.53,456.92,29.44,29.67,1.0,1.0
ring_104741.csv,10:47:22.660,10:47:41.060,231,80.0,0,vDcInst/idc_units/iq_shed,454.26,457.64,29.41,29.66,1.0,1.0
ring_104804.csv,10:47:46.299,10:48:04.699,231,80.0,0,vDcInst/idc_units/iq_shed,454.5,457.89,29.45,29.69,1.0,1.0
ring_104828.csv,10:48:09.777,10:48:28.177,231,80.0,0,vDcInst/idc_units/iq_shed,454.98,458.61,29.46,29.75,1.0,1.0
ring_104852.csv,10:48:33.448,10:48:52.808,243,80.0,0,vDcInst/idc_units/iq_shed,455.47,474.08,28.84,30.06,1.0,1.0
ring_104916.csv,10:48:58.447,10:49:16.847,231,80.0,0,vDcInst/idc_units/iq_shed,469.73,471.91,29.57,29.77,1.0,1.0
ring_104940.csv,10:49:22.038,10:49:40.438,231,80.0,0,vDcInst/idc_units/iq_shed,469.49,472.39,29.54,29.8,1.0,1.0
ring_105003.csv,10:49:45.580,10:50:03.980,231,80.0,0,vDcInst/idc_units/iq_shed,469.73,471.91,29.62,29.81,1.0,1.0
ring_105027.csv,10:50:09.140,10:50:27.540,231,80.0,0,vDcInst/idc_units/iq_shed,469.01,472.15,29.6,29.84,1.0,1.0
ring_105051.csv,10:50:32.764,10:50:51.084,230,80.0,0,vDcInst/idc_units/iq_shed,469.25,471.67,29.65,29.85,1.0,1.0
ring_105115.csv,10:50:56.275,10:51:15.235,238,80.0,0,vDcInst/idc_units/iq_shed,469.49,472.39,29.64,29.88,1.0,1.0
ring_105138.csv,10:51:20.648,10:51:38.968,230,80.0,0,vDcInst/idc_units/iq_shed,469.49,472.15,29.68,29.89,1.0,1.0
ring_105203.csv,10:51:45.120,10:52:03.440,230,80.0,0,vDcInst/idc_units/iq_shed,469.73,472.63,29.69,29.89,1.0,1.0
ring_105226.csv,10:52:08.567,10:52:26.887,230,80.0,0,vDcInst/idc_units/iq_shed,470.21,473.12,29.69,29.89,1.0,1.0
ring_105250.csv,10:52:32.077,10:52:50.397,230,80.0,0,vDcInst/idc_units/iq_shed,470.7,474.32,29.7,29.96,1.0,1.0
ring_105313.csv,10:52:55.540,10:53:13.860,230,80.0,0,vDcInst/idc_units/iq_shed,469.97,472.87,29.74,29.97,1.0,1.0
ring_105337.csv,10:53:19.147,10:53:37.467,230,80.0,0,vDcInst/idc_units/iq_shed,436.13,450.87,26.46,29.4,1.0,1.0
ring_105400.csv,10:53:42.626,10:54:00.946,230,80.0,0,vDcInst/idc_units/iq_shed,436.61,446.28,28.0,29.49,1.0,1.0
ring_105424.csv,10:54:06.249,10:54:24.569,230,80.0,0,vDcInst/idc_units/iq_shed,437.58,446.76,28.3,29.72,1.0,1.0
ring_105448.csv,10:54:29.792,10:54:48.032,229,80.0,0,vDcInst/idc_units/iq_shed,438.79,478.68,27.57,29.64,1.0,1.0
ring_105511.csv,10:54:53.336,10:55:11.736,231,80.0,0,vDcInst/idc_units/iq_shed,470.94,476.5,28.52,30.01,1.0,1.0
ring_105536.csv,10:55:16.877,10:55:36.877,251,80.0,0,vDcInst/idc_units/iq_shed,470.21,473.84,29.81,30.03,1.0,1.0
ring_105600.csv,10:55:42.468,10:56:00.788,230,80.0,0,vDcInst/idc_units/iq_shed,471.18,473.84,29.83,30.01,1.0,1.0
ring_105624.csv,10:56:06.011,10:56:24.331,230,80.0,0,vDcInst/idc_units/iq_shed,470.94,473.84,29.8,30.02,1.0,1.0
ring_105648.csv,10:56:29.570,10:56:48.930,243,80.0,0,vDcInst/idc_units/iq_shed,470.94,473.84,29.83,30.05,1.0,1.0
ring_105713.csv,10:56:54.696,10:57:13.656,238,80.0,0,vDcInst/idc_units/iq_shed,470.94,473.84,29.83,30.08,1.0,1.0
ring_105737.csv,10:57:19.135,10:57:37.535,231,80.0,0,vDcInst/idc_units/iq_shed,471.42,473.84,29.85,30.06,1.0,1.0
ring_105802.csv,10:57:42.679,10:58:02.039,243,80.0,0,vDcInst/idc_units/iq_shed,434.43,474.08,26.72,30.26,1.0,1.0
ring_105828.csv,10:58:09.884,10:58:28.204,230,80.0,0,vDcInst/idc_units/iq_shed,437.34,446.04,28.34,29.76,1.0,1.0
ring_105851.csv,10:58:33.443,10:58:51.843,231,80.0,0,vDcInst/idc_units/iq_shed,437.09,445.56,28.78,29.9,1.0,1.0
ring_105915.csv,10:58:56.954,10:59:15.274,230,80.0,0,vDcInst/idc_units/iq_shed,439.03,446.28,28.69,29.91,1.0,1.0
ring_105938.csv,10:59:20.545,10:59:38.865,230,80.0,0,vDcInst/idc_units/iq_shed,438.54,479.16,27.6,30.56,1.0,1.0
