iso,t_s,vDcInst,idc_units,iq_shed
17:59:01.655,1789052341.655,492.21,0.18,1.0
17:59:01.735,1789052341.735,492.21,0.18,1.0
17:59:01.815,1789052341.815,491.97,0.18,1.0
17:59:01.895,1789052341.895,492.21,0.17,1.0
17:59:01.975,1789052341.975,491.97,0.17,1.0
17:59:02.055,1789052342.055,492.21,0.18,1.0
17:59:02.135,1789052342.135,492.21,0.17,1.0
17:59:02.215,1789052342.215,492.21,0.17,1.0
17:59:02.295,1789052342.295,492.21,0.17,1.0
17:59:02.375,1789052342.375,492.21,0.17,1.0
17:59:02.455,1789052342.455,492.21,0.18,1.0
17:59:02.535,1789052342.535,492.21,0.17,1.0
17:59:02.615,1789052342.615,492.21,0.17,1.0
17:59:02.695,1789052342.695,492.21,0.17,1.0
17:59:02.775,1789052342.775,492.21,0.16,1.0
17:59:02.855,1789052342.855,492.21,0.16,1.0
17:59:02.935,1789052342.935,491.97,0.17,1.0
17:59:03.015,1789052343.015,492.21,0.16,1.0
17:59:03.095,1789052343.095,492.21,0.17,1.0
17:59:03.175,1789052343.175,492.21,0.17,1.0
17:59:03.255,1789052343.255,492.21,0.17,1.0
17:59:03.335,1789052343.335,492.21,0.17,1.0
17:59:03.415,1789052343.415,492.21,0.16,1.0
17:59:03.495,1789052343.495,492.21,0.17,1.0
17:59:03.575,1789052343.575,491.97,0.18,1.0
17:59:03.655,1789052343.655,492.21,0.17,1.0
17:59:03.735,1789052343.735,492.21,0.17,1.0
17:59:03.815,1789052343.815,492.21,0.16,1.0
17:59:03.895,1789052343.895,492.21,0.16,1.0
17:59:03.975,1789052343.975,492.21,0.17,1.0
17:59:04.055,1789052344.055,492.21,0.17,1.0
17:59:04.135,1789052344.135,492.21,0.16,1.0
17:59:04.215,1789052344.215,492.21,0.17,1.0
17:59:04.295,1789052344.295,492.21,0.17,1.0
17:59:04.375,1789052344.375,492.21,0.16,1.0
17:59:04.455,1789052344.455,492.21,0.17,1.0
17:59:04.535,1789052344.535,492.21,0.16,1.0
17:59:04.615,1789052344.615,492.21,0.17,1.0
17:59:04.695,1789052344.695,492.21,0.17,1.0
17:59:04.775,1789052344.775,492.21,0.17,1.0
17:59:04.855,1789052344.855,492.21,0.17,1.0
17:59:04.935,1789052344.935,491.73,0.17,1.0
17:59:05.015,1789052345.015,492.21,0.17,1.0
17:59:05.095,1789052345.095,492.21,0.16,1.0
17:59:05.175,1789052345.175,492.21,0.18,1.0
17:59:05.255,1789052345.255,492.21,0.19,1.0
17:59:05.335,1789052345.335,492.21,0.18,1.0
17:59:05.415,1789052345.415,492.21,0.17,1.0
17:59:05.495,1789052345.495,491.97,0.17,1.0
17:59:05.575,1789052345.575,491.97,0.18,1.0
17:59:05.655,1789052345.655,492.21,0.18,1.0
17:59:05.735,1789052345.735,492.21,0.18,1.0
17:59:05.815,1789052345.815,492.21,0.17,1.0
17:59:05.895,1789052345.895,492.21,0.17,1.0
17:59:05.975,1789052345.975,492.21,0.17,1.0
17:59:06.055,1789052346.055,492.21,0.17,1.0
17:59:06.135,1789052346.135,491.97,0.17,1.0
17:59:06.215,1789052346.215,492.21,0.17,1.0
17:59:06.295,1789052346.295,492.21,0.16,1.0
17:59:06.375,1789052346.375,491.97,0.17,1.0
17:59:06.455,1789052346.455,492.21,0.17,1.0
17:59:06.535,1789052346.535,492.21,0.16,1.0
17:59:06.615,1789052346.615,492.21,0.16,1.0
17:59:06.695,1789052346.695,491.97,0.18,1.0
17:59:06.775,1789052346.775,491.97,0.17,1.0
17:59:06.855,1789052346.855,492.21,0.16,1.0
17:59:06.935,1789052346.935,491.97,0.17,1.0
17:59:07.015,1789052347.015,492.21,0.18,1.0
17:59:07.095,1789052347.095,492.21,0.18,1.0
17:59:07.175,1789052347.175,492.21,0.17,1.0
17:59:07.255,1789052347.255,491.97,0.17,1.0
17:59:07.335,1789052347.335,492.21,0.17,1.0
17:59:07.415,1789052347.415,491.97,0.17,1.0
17:59:07.495,1789052347.495,491.97,0.17,1.0
17:59:07.575,1789052347.575,492.21,0.16,1.0
17:59:07.655,1789052347.655,492.21,0.17,1.0
17:59:07.735,1789052347.735,491.97,0.17,1.0
17:59:07.815,1789052347.815,492.21,0.17,1.0
17:59:07.895,1789052347.895,491.97,0.17,1.0
17:59:07.975,1789052347.975,491.97,0.17,1.0
17:59:08.055,1789052348.055,492.21,0.17,1.0
17:59:08.135,1789052348.135,491.97,0.17,1.0
17:59:08.215,1789052348.215,491.97,0.17,1.0
17:59:08.295,1789052348.295,492.21,0.17,1.0
17:59:08.375,1789052348.375,492.21,0.17,1.0
17:59:08.455,1789052348.455,491.97,0.16,1.0
17:59:08.535,1789052348.535,492.21,0.17,1.0
17:59:08.615,1789052348.615,491.97,0.17,1.0
17:59:08.695,1789052348.695,491.97,0.17,1.0
17:59:08.775,1789052348.775,491.97,0.18,1.0
17:59:08.855,1789052348.855,491.97,0.17,1.0
17:59:08.935,1789052348.935,491.97,0.17,1.0
17:59:09.015,1789052349.015,491.97,0.18,1.0
17:59:09.095,1789052349.095,491.97,0.17,1.0
17:59:09.175,1789052349.175,491.97,0.17,1.0
17:59:09.255,1789052349.255,491.97,0.17,1.0
17:59:09.335,1789052349.335,491.97,0.16,1.0
17:59:09.415,1789052349.415,491.97,0.17,1.0
17:59:09.495,1789052349.495,491.97,0.16,1.0
17:59:09.575,1789052349.575,491.97,0.17,1.0
17:59:09.655,1789052349.655,491.97,0.16,1.0
17:59:09.735,1789052349.735,491.97,0.17,1.0
17:59:09.815,1789052349.815,491.97,0.17,1.0
17:59:09.895,1789052349.895,491.97,0.16,1.0
17:59:09.975,1789052349.975,491.97,0.17,1.0
17:59:10.055,1789052350.055,491.97,0.17,1.0
17:59:10.135,1789052350.135,491.97,0.17,1.0
17:59:10.215,1789052350.215,491.97,0.17,1.0
17:59:10.295,1789052350.295,491.97,0.17,1.0
17:59:10.375,1789052350.375,491.97,0.17,1.0
17:59:10.455,1789052350.455,491.97,0.16,1.0
17:59:10.535,1789052350.535,491.97,0.17,1.0
17:59:10.615,1789052350.615,491.97,0.17,1.0
17:59:10.695,1789052350.695,491.97,0.17,1.0
17:59:10.775,1789052350.775,491.97,0.17,1.0
17:59:10.855,1789052350.855,491.97,0.16,1.0
17:59:10.935,1789052350.935,491.97,0.17,1.0
17:59:11.015,1789052351.015,491.97,0.17,1.0
17:59:11.095,1789052351.095,491.97,0.16,1.0
17:59:11.175,1789052351.175,491.97,0.17,1.0
17:59:11.255,1789052351.255,491.97,0.17,1.0
17:59:11.335,1789052351.335,491.97,0.17,1.0
17:59:11.415,1789052351.415,491.97,0.17,1.0
17:59:11.495,1789052351.495,491.97,0.17,1.0
17:59:11.575,1789052351.575,491.97,0.17,1.0
17:59:11.655,1789052351.655,491.97,0.17,1.0
17:59:11.735,1789052351.735,491.97,0.17,1.0
17:59:11.815,1789052351.815,491.97,0.17,1.0
17:59:11.895,1789052351.895,491.97,0.17,1.0
17:59:11.975,1789052351.975,491.97,0.16,1.0
17:59:12.055,1789052352.055,491.97,0.17,1.0
17:59:12.135,1789052352.135,491.97,0.17,1.0
17:59:12.215,1789052352.215,491.97,0.17,1.0
17:59:12.295,1789052352.295,491.97,0.18,1.0
17:59:12.375,1789052352.375,491.97,0.17,1.0
17:59:12.455,1789052352.455,491.97,0.18,1.0
17:59:12.535,1789052352.535,491.97,0.17,1.0
17:59:12.615,1789052352.615,491.97,0.16,1.0
17:59:12.695,1789052352.695,491.97,0.17,1.0
17:59:12.775,1789052352.775,491.97,0.18,1.0
17:59:12.855,1789052352.855,491.97,0.17,1.0
17:59:12.935,1789052352.935,491.97,0.18,1.0
17:59:13.015,1789052353.015,491.97,0.17,1.0
17:59:13.095,1789052353.095,491.97,0.17,1.0
17:59:13.175,1789052353.175,491.97,0.17,1.0
17:59:13.255,1789052353.255,491.97,0.16,1.0
17:59:13.335,1789052353.335,491.97,0.16,1.0
17:59:13.415,1789052353.415,491.97,0.17,1.0
17:59:13.495,1789052353.495,491.97,0.16,1.0
17:59:13.575,1789052353.575,491.97,0.17,1.0
17:59:13.655,1789052353.655,491.97,0.16,1.0
17:59:13.735,1789052353.735,491.97,0.16,1.0
17:59:13.815,1789052353.815,491.97,0.17,1.0
