t_to_trip_s,vDcInst,idc_units,iq_shed
-15.28,468.04,29.27,0.9999
-15.2,469.25,29.38,0.9999
-15.12,469.25,29.33,0.9999
-15.04,467.8,29.33,0.9999
-14.96,467.56,29.47,0.9999
-14.88,468.52,29.54,0.9999
-14.8,466.59,29.51,0.9999
-14.72,467.56,29.62,0.9999
-14.64,466.1,29.55,0.9999
-14.56,466.35,29.67,0.9999
-14.48,464.41,29.71,0.9999
-14.4,466.83,29.75,0.9999
-14.32,466.35,29.73,0.9999
-14.24,465.14,29.72,0.9999
-14.16,464.17,29.71,0.9999
-14.08,464.9,29.61,0.9999
-14.0,466.83,29.6,0.9999
-13.92,465.62,29.59,0.9999
-13.84,464.9,29.58,0.9999
-13.76,467.07,29.49,0.9999
-13.68,466.35,29.55,0.9999
-13.6,468.04,29.59,0.9999
-13.52,468.52,29.47,0.9999
-13.44,465.62,29.48,0.9999
-13.36,469.25,29.53,0.9999
-13.28,469.73,29.26,0.9999
-13.2,469.01,29.29,0.9999
-13.12,469.97,29.2,0.9999
-13.04,470.94,29.22,0.9999
-12.96,469.25,29.17,0.9999
-12.88,469.97,29.15,0.9999
-12.8,469.25,29.13,0.9999
-12.72,469.49,29.2,0.9999
-12.64,469.73,29.12,0.9999
-12.56,470.46,29.13,0.9999
-12.48,469.97,28.91,0.9999
-12.4,472.39,28.9,0.9999
-12.32,471.18,28.86,0.9999
-12.24,471.18,28.81,0.9999
-12.16,470.21,28.87,0.9999
-12.08,472.15,28.75,0.9999
-12.0,471.18,28.79,0.9999
-11.92,471.18,28.74,0.9999
-11.84,471.67,28.71,0.9999
-11.76,471.42,28.76,0.9999
-11.68,470.94,28.87,0.9999
-11.6,470.94,28.84,0.9999
-11.52,469.73,28.95,0.9999
-11.44,471.18,28.85,0.9999
-11.36,471.18,28.91,0.9999
-11.28,470.46,28.93,0.9999
-11.2,470.46,28.95,0.9999
-11.12,470.94,28.92,0.9999
-11.04,470.7,28.94,0.9999
-10.96,469.73,29.0,0.9999
-10.88,470.21,29.09,0.9999
-10.8,469.97,29.14,0.9999
-10.72,468.76,29.15,0.9999
-10.64,469.25,29.19,0.9999
-10.56,470.46,29.2,0.9999
-10.48,469.73,29.24,0.9999
-10.4,467.56,29.25,0.9999
-10.32,469.97,29.35,0.9999
-10.24,468.76,29.23,0.9999
-10.16,467.31,29.31,0.9999
-10.08,467.8,29.47,0.9999
-10.0,467.8,29.5,0.9999
-9.92,466.35,29.52,0.9999
-9.84,467.56,29.62,0.9999
-9.76,467.31,29.56,0.9999
-9.68,467.56,29.62,0.9999
-9.6,466.83,29.65,0.9999
-9.52,467.07,29.64,0.9999
-9.44,467.07,29.67,0.9999
-9.36,465.86,29.65,0.9999
-9.28,465.38,29.88,0.9999
-9.2,466.1,29.94,0.9999
-9.12,465.62,29.93,0.9999
-9.04,467.31,29.96,0.9999
-8.96,466.59,29.99,0.9999
-8.88,464.17,29.95,0.9999
-8.8,465.62,29.94,0.9999
-8.72,466.35,29.95,0.9999
-8.64,465.86,29.93,0.9999
-8.56,467.56,30.0,0.9999
-8.48,465.62,29.9,0.9999
-8.4,465.14,29.91,0.9999
-8.32,466.35,29.94,0.9999
-8.24,465.86,29.88,0.9999
-8.16,466.59,29.86,0.9999
-8.08,467.8,29.81,0.9999
-8.0,467.31,29.79,0.9999
-7.92,466.83,29.89,0.9999
-7.84,467.31,29.83,0.9999
-7.76,465.62,29.79,0.9999
-7.68,464.9,29.93,0.9999
-7.6,466.1,29.97,0.9999
-7.52,466.35,29.94,0.9999
-7.44,465.38,29.94,0.9999
-7.36,466.83,30.02,0.9999
-7.28,464.41,29.95,0.9999
-7.2,465.62,29.99,0.9999
-7.12,466.83,29.99,0.9999
-7.04,465.62,29.97,0.9999
-6.96,465.86,29.99,0.9999
-6.88,467.07,29.99,0.9999
-6.8,464.9,29.83,0.9999
-6.72,465.62,29.84,0.9999
-6.64,466.83,29.88,0.9999
-6.56,465.14,29.86,0.9999
-6.48,467.56,29.84,0.9999
-6.4,467.31,29.79,0.9999
-6.32,466.1,29.88,0.9999
-6.24,465.86,29.9,0.9999
-6.16,466.35,29.86,0.9999
-6.08,466.83,29.75,0.9999
-6.0,467.07,29.61,0.9999
-5.92,468.28,29.63,0.9999
-5.84,467.31,29.56,0.9999
-5.76,467.8,29.62,0.9999
-5.68,469.25,29.54,0.9999
-5.6,469.25,29.54,0.9999
-5.52,468.52,29.51,0.9999
-5.44,468.28,29.5,0.9999
-5.36,468.04,29.52,0.9999
-5.28,467.56,29.47,0.9999
-5.2,469.01,29.32,0.9999
-5.12,470.7,29.23,0.9999
-5.04,469.73,29.2,0.9999
-4.96,468.52,29.2,0.9999
-4.88,470.21,29.2,0.9999
-4.8,470.21,29.08,0.9999
-4.72,469.01,29.21,0.9999
-4.64,469.97,29.11,0.9999
-4.56,471.42,29.13,0.9999
-4.48,468.76,29.17,0.9999
-4.4,468.28,29.28,0.9999
-4.32,469.73,29.24,0.9999
-4.24,469.25,29.2,0.9999
-4.16,468.04,29.31,0.9999
-4.08,468.52,29.28,0.9999
-4.0,469.49,29.27,0.9999
-3.92,469.49,29.32,0.9999
-3.84,467.8,29.34,0.9999
-3.76,468.28,29.35,0.9999
-3.68,467.56,29.31,0.9999
-3.6,467.07,29.52,0.9999
-3.52,467.31,29.51,0.9999
-3.44,467.8,29.59,0.9999
-3.36,467.56,29.61,0.9999
-3.28,468.04,29.63,0.9999
-3.2,468.28,29.6,0.9999
-3.12,467.8,29.65,0.9999
-3.04,467.56,29.68,0.9999
-2.96,468.04,29.68,0.9999
-2.88,466.83,29.71,0.9999
-2.8,465.86,29.85,0.9999
-2.72,465.38,29.92,0.9999
-2.64,465.38,29.97,0.9999
-2.56,466.59,29.94,0.9999
-2.48,466.35,29.93,0.9999
-2.4,465.62,30.0,0.9999
-2.32,464.9,30.09,0.9999
-2.24,465.62,30.04,0.9999
-2.16,465.14,29.95,0.9999
-2.08,466.1,29.98,0.9999
-2.0,468.04,29.87,0.9999
-1.92,466.35,29.92,0.9999
-1.84,465.86,29.89,0.9999
-1.76,467.07,29.88,0.9999
-1.68,465.62,29.8,0.9999
-1.6,465.62,29.9,0.9999
-1.52,466.83,29.81,0.9999
-1.44,465.38,29.78,0.9999
-1.36,465.86,29.85,0.9999
-1.28,467.31,29.82,0.9999
-1.2,467.56,29.72,0.9999
-1.12,468.28,29.65,0.9999
-1.04,468.04,29.58,0.9999
-0.96,468.52,29.59,0.9999
-0.88,469.01,29.56,0.9999
-0.8,467.31,29.54,0.9999
-0.72,467.56,29.52,0.9999
-0.64,467.31,29.49,0.9999
-0.56,468.04,29.57,0.9999
-0.48,468.04,29.5,0.9999
-0.4,466.59,29.56,0.9999
-0.32,467.8,29.66,0.9999
-0.24,468.04,29.63,0.9999
-0.16,466.83,29.7,0.9999
-0.08,318.87,27.86,0.9999
0.0,229.42,23.68,0.9999
