iso,t_s,vdc_units,iq_ref,v_demand
11:00:15.452,1789372815.453,474.7,50.514,234.54
11:00:15.454,1789372815.454,474.7,50.544,265.59
11:00:15.455,1789372815.456,474.7,50.7,247.43
11:00:15.457,1789372815.457,474.7,50.516,257.77
11:00:15.458,1789372815.459,474.7,50.666,263.1
11:00:15.460,1789372815.461,474.7,50.52,252.5
11:00:15.462,1789372815.462,474.7,50.498,271.07
11:00:15.463,1789372815.464,474.7,50.502,230.83
11:00:15.465,1789372815.465,474.7,50.528,253.37
11:00:15.466,1789372815.467,474.7,50.624,231.41
11:00:15.468,1789372815.469,474.7,50.564,230.48
11:00:15.470,1789372815.47,474.7,50.704,233.25
11:00:15.471,1789372815.472,474.7,50.552,227.74
11:00:15.473,1789372815.473,474.7,50.624,244.53
11:00:15.474,1789372815.475,474.7,50.558,240.86
11:00:15.476,1789372815.477,474.7,50.616,247.23
11:00:15.478,1789372815.478,474.7,50.6,224.28
11:00:15.479,1789372815.48,474.4,50.568,227.76
11:00:15.481,1789372815.481,474.4,50.638,216.41
11:00:15.482,1789372815.483,474.4,50.458,217.83
11:00:15.484,1789372815.485,474.4,50.584,232.6
11:00:15.486,1789372815.486,474.4,50.46,238.56
11:00:15.487,1789372815.488,474.4,50.606,249.84
11:00:15.489,1789372815.489,474.4,50.524,243.48
11:00:15.490,1789372815.491,474.4,50.542,245.24
11:00:15.492,1789372815.493,474.4,50.574,227.86
11:00:15.494,1789372815.494,474.4,50.452,248.74
11:00:15.495,1789372815.496,474.4,50.67,232.64
11:00:15.497,1789372815.497,474.4,50.62,265.05
11:00:15.498,1789372815.499,474.4,50.786,258.57
11:00:15.500,1789372815.501,474.4,50.594,272.09
11:00:15.502,1789372815.502,474.4,50.644,278.79
11:00:15.503,1789372815.504,474.4,50.562,264.39
11:00:15.505,1789372815.505,474.4,50.47,280.26
11:00:15.506,1789372815.507,474.4,50.594,229.94
11:00:15.508,1789372815.509,474.4,50.574,264.06
11:00:15.510,1789372815.51,474.4,50.728,242.48
