iso,t_s,vDcInst,iq,i_trk_err
11:02:04.308,1789372924.309,475.29,42.186,8.474
11:02:04.310,1789372924.31,475.53,43.886,6.67
11:02:04.311,1789372924.312,476.02,42.244,8.192
11:02:04.313,1789372924.313,476.5,41.578,9.272
11:02:04.314,1789372924.315,476.02,41.32,9.21
11:02:04.316,1789372924.317,475.53,39.82,10.874
11:02:04.318,1789372924.318,475.53,41.142,9.456
11:02:04.319,1789372924.32,476.26,40.548,10.246
11:02:04.321,1789372924.321,476.26,42.882,7.624
11:02:04.322,1789372924.323,475.78,41.252,9.164
11:02:04.324,1789372924.325,475.78,42.184,8.966
11:02:04.326,1789372924.326,475.78,41.832,8.68
11:02:04.327,1789372924.328,476.26,41.432,9.688
11:02:04.329,1789372924.329,476.26,44.372,6.172
11:02:04.330,1789372924.331,475.53,42.152,8.49
11:02:04.332,1789372924.333,475.78,43.286,7.188
11:02:04.334,1789372924.334,476.26,42.128,8.464
11:02:04.335,1789372924.336,476.02,42.604,8.014
11:02:04.337,1789372924.337,475.53,42.842,7.676
11:02:04.338,1789372924.339,475.29,43.136,7.76
11:02:04.340,1789372924.341,475.29,44.158,6.286
11:02:04.342,1789372924.342,475.78,43.308,7.36
11:02:04.343,1789372924.344,476.02,43.632,6.92
11:02:04.345,1789372924.345,475.78,41.896,8.71
11:02:04.346,1789372924.347,475.53,42.378,8.044
11:02:04.348,1789372924.349,475.29,41.944,8.822
11:02:04.350,1789372924.35,475.78,41.944,8.658
11:02:04.351,1789372924.352,476.02,42.896,7.622
11:02:04.353,1789372924.353,476.5,43.362,7.206
11:02:04.354,1789372924.355,476.98,41.7,8.716
11:02:04.356,1789372924.357,477.23,41.354,9.338
11:02:04.358,1789372924.358,476.26,41.494,8.984
11:02:04.359,1789372924.36,475.53,39.694,10.932
11:02:04.361,1789372924.361,475.78,40.532,10.06
11:02:04.362,1789372924.363,476.26,40.742,10.03
11:02:04.364,1789372924.365,476.26,43.15,7.322
11:02:04.366,1789372924.366,476.26,40.966,9.402
11:02:04.367,1789372924.368,476.26,42.046,9.176
11:02:04.369,1789372924.369,475.78,41.496,8.99
11:02:04.370,1789372924.371,476.02,40.658,10.244
11:02:04.372,1789372924.373,476.02,42.964,7.566
11:02:04.374,1789372924.374,475.53,41.346,9.37
11:02:04.375,1789372924.376,475.53,43.236,7.242
11:02:04.377,1789372924.377,475.53,42.176,8.446
11:02:04.378,1789372924.379,475.78,42.674,8.142
11:02:04.380,1789372924.381,475.29,43.04,7.61
11:02:04.382,1789372924.382,475.53,42.5,8.698
11:02:04.383,1789372924.384,475.29,43.606,7.034
11:02:04.385,1789372924.385,476.02,42.306,8.432
11:02:04.386,1789372924.387,476.02,43.112,7.51
11:02:04.388,1789372924.389,476.26,41.934,8.818
11:02:04.390,1789372924.39,476.02,42.248,8.28
11:02:04.391,1789372924.392,475.78,42.482,8.298
11:02:04.393,1789372924.393,476.26,42.52,8.094
11:02:04.394,1789372924.395,476.26,43.842,6.688
11:02:04.396,1789372924.397,476.5,43.552,7.174
11:02:04.398,1789372924.398,476.74,42.228,8.256
11:02:04.399,1789372924.4,477.23,41.282,9.32
11:02:04.401,1789372924.401,476.02,41.99,8.524
11:02:04.402,1789372924.403,475.29,40.616,10.134
11:02:04.404,1789372924.405,475.53,41.336,9.37
11:02:04.406,1789372924.406,475.78,41.546,9.308
11:02:04.407,1789372924.408,476.26,43.494,7.088
11:02:04.409,1789372924.409,476.26,41.672,8.764
11:02:04.410,1789372924.411,476.26,41.278,9.704
11:02:04.412,1789372924.413,475.53,41.604,8.886
11:02:04.414,1789372924.414,475.78,40.072,10.626
11:02:04.415,1789372924.416,475.53,41.926,8.672
11:02:04.417,1789372924.417,475.53,40.964,9.772
11:02:04.418,1789372924.419,475.29,43.252,7.306
11:02:04.420,1789372924.421,475.29,42.244,8.3
11:02:04.422,1789372924.422,476.02,42.116,8.99
11:02:04.423,1789372924.424,475.78,42.748,7.998
11:02:04.425,1789372924.425,475.29,41.34,9.766
11:02:04.426,1789372924.427,474.57,42.42,8.258
11:02:04.428,1789372924.429,476.5,41.816,8.914
11:02:04.430,1789372924.43,476.74,43.048,7.516
11:02:04.431,1789372924.432,476.26,42.574,8.128
11:02:04.433,1789372924.433,476.02,42.738,7.832
11:02:04.434,1789372924.435,475.78,43.344,7.27
11:02:04.436,1789372924.437,476.26,43.49,7.142
11:02:04.438,1789372924.438,476.02,45.13,5.364
11:02:04.439,1789372924.44,475.29,43.416,7.274
11:02:04.441,1789372924.441,475.78,43.324,7.16
11:02:04.442,1789372924.443,476.26,41.922,8.66
11:02:04.444,1789372924.445,475.29,42.512,7.968
11:02:04.446,1789372924.446,474.81,41.718,8.964
11:02:04.447,1789372924.448,474.81,42.482,8.152
11:02:04.449,1789372924.449,475.05,42.482,8.268
11:02:04.450,1789372924.451,475.78,43.306,7.31
11:02:04.452,1789372924.453,476.26,41.724,8.866
11:02:04.454,1789372924.454,476.02,41.192,9.492
11:02:04.455,1789372924.456,475.29,41.8,8.722
11:02:04.457,1789372924.457,475.05,40.428,10.24
11:02:04.458,1789372924.459,475.29,41.91,8.732
11:02:04.460,1789372924.461,475.29,40.92,9.8
11:02:04.462,1789372924.462,475.53,43.418,7.18
11:02:04.463,1789372924.464,475.53,41.586,8.85
11:02:04.465,1789372924.465,476.5,41.804,9.336
11:02:04.466,1789372924.467,475.78,42.646,7.936
11:02:04.468,1789372924.469,475.29,40.656,10.178
11:02:04.470,1789372924.47,475.29,42.266,8.276
11:02:04.471,1789372924.472,476.26,41.088,9.592
11:02:04.473,1789372924.473,476.02,43.03,7.446
11:02:04.474,1789372924.475,475.78,42.47,8.042
11:02:04.476,1789372924.477,475.78,42.69,8.064
11:02:04.478,1789372924.478,475.53,43.348,7.174
11:02:04.479,1789372924.48,476.02,43.156,7.652
11:02:04.481,1789372924.481,475.78,45.534,4.948
11:02:04.482,1789372924.483,475.53,43.112,7.522
11:02:04.484,1789372924.485,476.02,43.08,7.368
11:02:04.486,1789372924.486,476.5,41.712,8.83
11:02:04.487,1789372924.488,476.02,42.396,8.058
11:02:04.489,1789372924.489,475.78,42.24,8.284
11:02:04.490,1789372924.491,475.29,43.394,7.166
11:02:04.492,1789372924.493,475.29,43.138,7.394
11:02:04.494,1789372924.494,475.78,43.432,7.26
11:02:04.495,1789372924.496,476.26,42.16,8.372
11:02:04.497,1789372924.497,476.02,40.7,9.902
11:02:04.498,1789372924.499,475.53,41.286,9.204
11:02:04.500,1789372924.501,475.53,40.184,10.552
11:02:04.502,1789372924.502,475.78,41.422,9.296
11:02:04.503,1789372924.504,475.53,41.152,9.468
11:02:04.505,1789372924.505,476.02,43.054,7.606
11:02:04.506,1789372924.507,476.5,41.112,9.32
11:02:04.508,1789372924.509,476.98,41.21,9.804
11:02:04.510,1789372924.51,476.26,42.432,8.138
11:02:04.511,1789372924.512,475.53,39.826,10.876
11:02:04.513,1789372924.513,475.53,41.996,8.61
11:02:04.514,1789372924.515,476.26,41.102,9.714
11:02:04.516,1789372924.517,476.02,43.244,7.276
11:02:04.518,1789372924.518,476.02,41.948,8.55
11:02:04.519,1789372924.52,475.78,42.626,8.49
11:02:04.521,1789372924.521,475.29,43.024,7.556
11:02:04.522,1789372924.523,476.02,42.472,8.434
11:02:04.524,1789372924.525,475.29,44.556,6.034
11:02:04.526,1789372924.526,475.29,42.882,7.836
11:02:04.527,1789372924.528,475.29,43.818,6.722
11:02:04.529,1789372924.529,475.78,42.824,7.838
11:02:04.530,1789372924.531,475.53,42.992,7.578
11:02:04.532,1789372924.533,475.29,43.21,7.4
11:02:04.534,1789372924.534,475.53,43.27,7.48
11:02:04.535,1789372924.536,475.53,42.926,7.668
11:02:04.537,1789372924.537,476.26,42.844,7.95
11:02:04.538,1789372924.539,476.5,42.984,7.676
11:02:04.540,1789372924.541,475.78,41.384,9.32
11:02:04.542,1789372924.542,475.53,41.478,9.15
11:02:04.543,1789372924.544,475.53,41.142,9.852
11:02:04.545,1789372924.545,475.78,41.984,8.942
11:02:04.546,1789372924.547,475.78,42.134,8.532
11:02:04.548,1789372924.549,476.02,43.232,7.554
11:02:04.550,1789372924.55,476.5,41.362,9.104
11:02:04.551,1789372924.552,476.98,40.852,9.906
11:02:04.553,1789372924.553,475.78,42.334,8.228
11:02:04.554,1789372924.555,475.29,39.896,10.878
11:02:04.556,1789372924.557,475.53,41.62,9.014
11:02:04.558,1789372924.558,475.78,40.926,9.938
11:02:04.559,1789372924.56,476.02,43.348,7.236
11:02:04.561,1789372924.561,476.02,41.98,8.46
11:02:04.562,1789372924.563,476.02,42.27,9.086
11:02:04.564,1789372924.565,475.29,43.062,7.458
11:02:04.566,1789372924.566,475.53,41.596,9.178
11:02:04.567,1789372924.568,475.53,43.262,7.28
11:02:04.569,1789372924.569,475.78,42.25,8.43
11:02:04.570,1789372924.571,475.29,43.422,7.11
11:02:04.572,1789372924.573,476.02,42.932,7.576
11:02:04.574,1789372924.574,476.26,42.83,7.798
11:02:04.575,1789372924.576,475.78,43.702,6.83
11:02:04.577,1789372924.577,475.78,42.744,8.094
11:02:04.578,1789372924.579,476.02,42.968,7.6
11:02:04.580,1789372924.581,476.98,42.276,8.368
11:02:04.582,1789372924.582,477.47,42.542,7.964
11:02:04.583,1789372924.584,476.74,41.416,9.214
11:02:04.585,1789372924.585,476.5,41.476,8.912
11:02:04.586,1789372924.587,476.26,42.022,8.72
11:02:04.588,1789372924.589,476.5,42.91,7.724
11:02:04.590,1789372924.59,475.78,43.29,7.102
11:02:04.591,1789372924.592,476.26,42.978,7.678
11:02:04.593,1789372924.593,476.26,42.002,8.302
11:02:04.594,1789372924.595,476.74,40.368,10.092
11:02:04.596,1789372924.597,475.53,41.58,8.8
11:02:04.598,1789372924.598,474.81,40.188,10.406
11:02:04.599,1789372924.6,474.81,42.126,8.442
11:02:04.601,1789372924.601,474.81,41.292,9.44
11:02:04.602,1789372924.603,475.78,42.906,7.756
11:02:04.604,1789372924.605,476.5,41.31,9.17
11:02:04.606,1789372924.606,476.26,41.152,9.88
11:02:04.607,1789372924.608,475.29,42.308,8.198
11:02:04.609,1789372924.609,475.53,40.534,10.15
