iso,t_s,wm_hat_hz,iq,iq_shed
14:54:38.476,1789386878.477,42.188,33.356,1.0
14:54:38.516,1789386878.517,40.684,34.706,1.0
14:54:38.556,1789386878.557,41.968,33.532,1.0
14:54:38.596,1789386878.597,42.022,33.424,1.0
14:54:38.636,1789386878.637,41.5,34.676,1.0
14:54:38.676,1789386878.677,41.456,33.07,1.0
14:54:38.716,1789386878.717,41.306,35.0,1.0
14:54:38.756,1789386878.757,41.574,34.806,1.0
14:54:38.796,1789386878.797,42.148,32.356,1.0
14:54:38.836,1789386878.837,41.34,34.394,1.0
14:54:38.876,1789386878.877,40.26,36.128,1.0
14:54:38.916,1789386878.917,43.362,32.078,1.0
14:54:38.956,1789386878.957,41.588,33.228,1.0
14:54:38.996,1789386878.997,41.582,34.416,1.0
14:54:39.036,1789386879.037,41.764,33.862,1.0
14:54:39.076,1789386879.077,42.106,33.648,1.0
14:54:39.116,1789386879.117,41.368,33.692,1.0
14:54:39.156,1789386879.157,41.616,33.77,1.0
14:54:39.196,1789386879.197,41.808,32.148,1.0
14:54:39.236,1789386879.237,41.204,33.562,1.0
14:54:39.276,1789386879.277,41.102,34.116,1.0
14:54:39.316,1789386879.317,40.692,34.328,1.0
14:54:39.356,1789386879.357,42.664,32.98,1.0
14:54:39.396,1789386879.397,40.966,33.85,1.0
14:54:39.436,1789386879.437,41.364,34.312,1.0
14:54:39.476,1789386879.477,42.566,31.73,1.0
14:54:39.516,1789386879.517,41.234,34.024,1.0
14:54:39.556,1789386879.557,40.734,34.484,1.0
14:54:39.596,1789386879.597,42.228,32.792,1.0
14:54:39.636,1789386879.637,41.136,35.062,1.0
14:54:39.676,1789386879.677,41.352,33.02,1.0
14:54:39.716,1789386879.717,41.606,33.662,1.0
14:54:39.756,1789386879.757,40.888,34.384,1.0
14:54:39.796,1789386879.797,42.126,32.986,1.0
14:54:39.836,1789386879.837,41.56,33.884,1.0
14:54:39.876,1789386879.877,41.74,33.446,1.0
14:54:39.916,1789386879.917,41.272,33.922,1.0
14:54:39.956,1789386879.957,41.776,33.744,1.0
14:54:39.996,1789386879.997,41.794,33.448,1.0
14:54:40.036,1789386880.037,41.614,33.98,1.0
14:54:40.076,1789386880.077,41.986,34.158,1.0
14:54:40.116,1789386880.117,41.486,32.506,1.0
14:54:40.156,1789386880.157,41.77,33.296,1.0
14:54:40.196,1789386880.197,40.838,35.04,1.0
14:54:40.236,1789386880.237,42.486,32.678,1.0
14:54:40.276,1789386880.277,41.41,34.718,1.0
14:54:40.316,1789386880.317,41.198,35.32,1.0
14:54:40.356,1789386880.357,42.378,31.876,1.0
14:54:40.396,1789386880.397,41.052,34.872,1.0
14:54:40.436,1789386880.437,40.658,35.708,1.0
14:54:40.476,1789386880.477,42.508,32.608,1.0
14:54:40.516,1789386880.517,42.304,33.268,1.0
14:54:40.556,1789386880.557,40.672,34.716,1.0
14:54:40.596,1789386880.597,42.146,33.308,1.0
14:54:40.636,1789386880.637,41.36,33.676,1.0
14:54:40.676,1789386880.677,42.224,34.014,1.0
14:54:40.716,1789386880.717,41.13,35.146,1.0
14:54:40.756,1789386880.757,42.102,33.408,1.0
14:54:40.796,1789386880.797,42.148,32.648,1.0
14:54:40.836,1789386880.837,41.758,34.684,1.0
14:54:40.876,1789386880.877,41.526,34.982,1.0
14:54:40.916,1789386880.917,41.596,34.572,1.0
14:54:40.956,1789386880.957,42.338,32.58,1.0
14:54:40.996,1789386880.997,42.068,33.846,1.0
14:54:41.036,1789386881.037,40.87,35.692,1.0
14:54:41.076,1789386881.077,41.348,34.888,1.0
14:54:41.116,1789386881.117,41.874,35.194,1.0
14:54:41.156,1789386881.157,41.97,33.676,1.0
14:54:41.196,1789386881.197,41.572,34.646,1.0
14:54:41.236,1789386881.237,40.586,35.924,1.0
14:54:41.276,1789386881.277,42.258,34.382,1.0
14:54:41.316,1789386881.317,40.962,35.962,1.0
14:54:41.356,1789386881.357,42.392,33.402,1.0
14:54:41.396,1789386881.397,40.958,35.28,1.0
14:54:41.436,1789386881.437,41.602,35.574,1.0
14:54:41.476,1789386881.477,41.81,35.324,1.0
14:54:41.516,1789386881.517,41.434,35.388,1.0
14:54:41.556,1789386881.557,42.248,32.438,1.0
14:54:41.596,1789386881.597,41.294,34.86,1.0
14:54:41.636,1789386881.637,40.578,36.114,1.0
14:54:41.676,1789386881.677,42.514,33.646,1.0
14:54:41.716,1789386881.717,42.336,33.55,1.0
14:54:41.756,1789386881.757,41.16,34.168,1.0
14:54:41.796,1789386881.797,41.406,34.968,1.0
14:54:41.836,1789386881.837,40.816,35.494,1.0
14:54:41.876,1789386881.877,43.458,32.164,1.0
14:54:41.916,1789386881.917,41.462,33.69,1.0
14:54:41.956,1789386881.957,41.65,34.806,1.0
14:54:41.996,1789386881.997,41.714,33.978,1.0
14:54:42.036,1789386882.037,42.224,33.362,1.0
14:54:42.076,1789386882.077,41.472,33.866,1.0
14:54:42.116,1789386882.117,41.414,34.772,1.0
14:54:42.156,1789386882.157,42.498,32.708,1.0
14:54:42.196,1789386882.197,41.508,34.29,1.0
14:54:42.236,1789386882.237,40.536,35.894,1.0
14:54:42.276,1789386882.277,41.834,33.16,1.0
14:54:42.316,1789386882.317,42.146,34.824,1.0
14:54:42.356,1789386882.357,40.774,35.44,1.0
14:54:42.396,1789386882.397,41.582,35.152,1.0
14:54:42.436,1789386882.437,40.856,35.632,1.0
