t_to_trip_s,vdc_units,iq_ref,v_demand
-0.408,474.96,50.556,270.11
-0.4064,474.96,50.622,276.42
-0.4048,474.96,50.522,261.0
-0.4032,474.96,50.444,279.68
-0.4016,474.96,50.556,230.15
-0.4,474.96,50.55,258.83
-0.3984,474.96,50.694,240.62
-0.3968,474.96,50.584,234.41
-0.3952,474.96,50.694,251.75
-0.3936,474.96,50.542,235.81
-0.392,474.96,50.548,259.33
-0.3904,474.96,50.502,237.46
-0.3888,474.96,50.566,244.0
-0.3872,474.96,50.604,221.2
-0.3856,474.96,50.524,227.37
-0.384,474.96,50.646,225.72
-0.3824,474.96,50.482,229.91
-0.3808,474.96,50.568,237.77
-0.3792,474.96,50.434,234.95
-0.3776,474.96,50.556,247.29
-0.376,474.96,50.502,238.87
-0.3744,474.96,50.486,233.1
-0.3728,474.96,50.55,213.76
-0.3712,474.96,50.392,228.11
-0.3696,474.96,50.536,231.63
-0.368,474.96,50.462,254.02
-0.3664,474.96,50.59,265.15
-0.3648,474.96,50.428,266.21
-0.3632,474.96,50.442,266.02
-0.3616,474.82,50.392,245.88
-0.36,474.82,50.252,265.7
-0.3584,474.82,50.46,229.93
-0.3568,474.82,50.392,263.3
-0.3552,474.82,50.552,252.37
-0.3536,474.82,50.41,257.16
-0.352,474.82,50.476,273.28
-0.3504,474.82,50.36,257.48
-0.3488,474.82,50.348,276.36
-0.3472,474.82,50.438,235.64
-0.3456,474.82,50.496,254.22
-0.344,474.82,50.636,235.17
-0.3424,474.82,50.504,243.66
-0.3408,474.82,50.65,245.79
-0.3392,474.82,50.496,242.72
-0.3376,474.82,50.56,255.35
-0.336,474.82,50.486,234.16
-0.3344,474.82,50.578,243.09
-0.3328,474.82,50.59,229.3
-0.3312,474.82,50.562,225.09
-0.3296,474.82,50.672,218.37
-0.328,474.82,50.522,227.71
-0.3264,474.82,50.646,235.51
-0.3248,474.82,50.584,238.95
-0.3232,474.82,50.69,254.34
-0.3216,474.82,50.612,239.39
-0.32,474.82,50.62,241.44
-0.3184,474.82,50.648,225.17
-0.3168,474.82,50.498,237.46
-0.3152,474.82,50.692,229.93
-0.3136,474.82,50.586,253.73
-0.312,474.82,50.754,256.29
-0.3104,474.82,50.612,257.49
-0.3088,474.82,50.61,275.12
-0.3072,474.82,50.548,257.01
-0.3056,474.82,50.492,271.51
-0.304,474.82,50.652,234.1
-0.3024,474.82,50.672,264.82
-0.3008,474.82,50.82,247.52
-0.2992,474.82,50.648,257.15
-0.2976,474.82,50.76,263.96
-0.296,474.82,50.632,251.06
-0.2944,474.82,50.61,270.39
