t_to_trip_s,vDcInst,iq,i_trk_err
-0.408,474.57,41.496,9.156
-0.4064,475.78,42.194,8.354
-0.4048,476.02,40.114,10.622
-0.4032,475.53,41.478,9.232
-0.4016,475.29,39.776,10.986
-0.4,475.78,42.626,8.194
-0.3984,476.26,41.456,9.064
-0.3968,476.74,42.376,9.058
-0.3952,476.26,43.002,7.582
-0.3936,476.26,40.814,9.828
-0.392,475.53,42.352,8.05
-0.3904,475.29,40.998,9.646
-0.3888,475.05,43.17,7.28
-0.3872,475.05,42.384,8.122
-0.3856,475.78,42.858,8.204
-0.384,476.5,43.046,7.374
-0.3824,476.74,41.87,8.798
-0.3808,475.78,43.726,6.822
-0.3792,475.29,41.398,9.28
-0.3776,475.29,43.03,7.674
-0.376,476.02,42.426,8.244
-0.3744,476.5,42.786,7.724
-0.3728,475.78,43.364,7.044
-0.3712,475.53,43.618,6.978
-0.3696,474.81,43.872,6.534
-0.368,474.57,42.574,8.09
-0.3664,474.57,43.676,6.824
-0.3648,474.81,41.906,8.784
-0.3632,476.5,42.264,8.156
-0.3616,476.5,42.176,8.486
-0.36,476.74,42.428,8.116
-0.3584,475.78,42.924,7.67
-0.3568,475.78,42.772,7.98
-0.3552,476.26,42.0,8.576
-0.3536,476.26,42.202,8.556
-0.352,476.26,42.946,7.55
-0.3504,475.05,41.674,9.034
-0.3488,475.05,41.91,8.692
-0.3472,475.05,41.736,9.07
-0.3456,475.29,42.976,7.75
-0.344,474.57,42.902,7.644
-0.3424,475.29,42.388,8.426
-0.3408,475.78,42.026,8.482
-0.3392,476.02,40.316,10.308
-0.3376,475.53,41.336,9.302
-0.336,474.81,40.45,10.406
-0.3344,474.81,42.086,8.736
-0.3328,475.29,41.558,9.418
-0.3312,475.29,43.384,7.324
-0.3296,475.53,41.906,8.648
-0.328,475.53,41.04,9.794
-0.3264,474.81,42.352,8.256
-0.3248,474.57,40.246,10.576
-0.3232,474.81,42.282,8.506
-0.3216,474.81,41.274,9.626
-0.32,475.78,43.082,7.864
-0.3184,476.26,42.022,8.582
-0.3168,476.74,41.604,9.65
-0.3152,475.53,43.396,7.332
-0.3136,474.81,40.908,9.984
-0.312,475.05,42.278,8.402
-0.3104,476.02,41.026,9.768
-0.3088,476.26,42.772,7.816
-0.3072,475.53,42.354,8.134
-0.3056,475.53,42.77,8.28
-0.304,475.29,43.28,7.262
-0.3024,475.29,42.716,8.162
-0.3008,475.53,44.39,6.204
-0.2992,474.57,43.274,7.438
-0.2976,475.29,44.176,6.36
-0.296,474.81,43.158,7.474
-0.2944,474.81,43.352,7.282
-0.2928,474.08,43.516,7.1
-0.2912,474.32,43.632,7.118
-0.2896,474.81,43.67,6.878
-0.288,475.29,43.446,7.294
-0.2864,475.05,43.7,6.886
-0.2848,474.81,42.142,8.488
-0.2832,474.57,42.574,7.862
-0.2816,474.57,42.348,8.51
-0.28,475.05,42.682,8.06
-0.2784,475.05,43.37,7.2
-0.2768,475.29,43.384,7.27
-0.2752,476.26,41.964,8.44
-0.2736,476.74,40.896,9.708
-0.272,475.78,42.096,8.37
-0.2704,474.57,40.11,10.55
-0.2688,475.29,40.726,9.91
-0.2672,475.53,41.466,9.408
-0.2656,475.78,43.312,7.158
-0.264,475.29,41.866,8.394
-0.2624,475.53,41.584,9.298
-0.2608,476.02,41.396,8.93
-0.2592,475.05,39.99,10.55
-0.2576,475.05,41.906,8.512
-0.256,475.05,40.67,9.878
-0.2544,475.29,43.208,7.16
-0.2528,475.53,41.282,9.116
-0.2512,475.78,41.83,9.178
-0.2496,475.29,41.514,9.04
-0.248,475.05,40.916,10.278
-0.2464,475.29,42.46,8.02
-0.2448,475.53,41.056,9.548
-0.2432,475.53,42.498,7.992
-0.2416,475.53,41.742,8.884
-0.24,475.05,42.682,7.968
-0.2384,475.53,42.282,8.228
-0.2368,476.02,42.296,8.71
-0.2352,475.78,44.074,6.542
-0.2336,475.53,42.16,8.544
-0.232,476.02,43.118,7.39
-0.2304,476.26,42.204,8.462
-0.2288,475.05,43.028,7.52
-0.2272,474.57,42.376,8.234
-0.2256,475.05,42.566,8.272
-0.224,475.78,43.39,7.154
-0.2224,476.26,43.336,7.434
-0.2208,476.02,43.97,6.612
-0.2192,475.78,42.074,8.542
-0.2176,475.78,43.428,7.112
-0.216,474.81,42.282,8.468
-0.2144,475.29,42.578,7.986
-0.2128,474.81,43.552,7.02
-0.2112,475.29,44.322,6.294
-0.2096,475.29,43.532,6.958
-0.208,475.78,42.152,8.582
-0.2064,475.53,41.882,8.734
-0.2048,474.57,40.4,10.34
-0.2032,468.52,40.798,9.942
-0.2016,461.75,39.916,11.194
-0.2,456.19,41.064,10.188
-0.1984,450.87,39.538,11.686
-0.1968,447.49,39.032,12.356
-0.1952,443.86,38.464,13.046
-0.1936,442.17,37.586,14.332
-0.192,439.51,38.928,12.88
-0.1904,437.34,37.428,14.526
-0.1888,435.64,39.914,12.316
-0.1872,434.19,38.936,13.46
-0.1856,432.5,40.27,12.176
-0.184,429.6,39.552,12.968
-0.1824,428.15,40.018,12.386
-0.1808,426.46,40.476,11.896
-0.1792,425.01,40.276,12.428
-0.1776,422.59,42.122,10.31
-0.176,419.69,40.454,12.018
-0.1744,417.03,42.608,10.158
-0.1728,413.64,42.004,10.9
-0.1712,411.47,43.27,9.588
-0.1696,408.32,44.154,8.788
-0.168,406.15,43.53,9.016
-0.1664,403.25,44.086,8.44
-0.1648,401.07,41.756,10.814
-0.1632,398.9,42.916,9.67
-0.1616,395.27,42.032,10.518
-0.16,393.34,42.94,9.598
-0.1584,391.89,43.594,8.954
-0.1568,390.43,43.194,9.41
-0.1552,388.02,45.08,7.462
-0.1536,385.12,42.394,10.168
-0.152,382.21,43.966,8.674
-0.1504,379.31,42.168,10.502
-0.1488,377.14,43.326,9.252
-0.1472,374.24,42.99,9.678
-0.1456,372.79,42.808,10.01
-0.144,370.85,42.906,9.598
-0.1424,369.64,41.326,11.238
-0.1408,367.23,43.39,9.154
-0.1392,363.84,42.784,9.764
-0.1376,361.91,44.434,8.114
-0.136,359.73,44.742,7.814
-0.1344,358.76,43.324,9.37
-0.1328,356.35,44.864,7.67
-0.1312,353.2,41.534,11.024
-0.1296,350.3,43.92,8.968
-0.128,347.89,42.576,10.33
-0.1264,346.43,44.394,8.396
-0.1248,344.02,45.126,7.594
-0.1232,342.81,43.992,8.562
-0.1216,341.12,44.458,8.16
-0.12,339.67,41.734,10.974
-0.1184,337.97,43.678,9.114
-0.1168,335.31,43.134,10.076
-0.1152,335.31,43.432,9.158
-0.1136,333.62,44.144,8.46
-0.112,332.65,42.978,9.624
-0.1104,330.72,45.088,7.48
-0.1088,328.06,43.072,10.028
-0.1072,327.34,44.666,8.062
-0.1056,324.92,44.056,8.494
-0.104,323.71,44.002,8.71
-0.1024,321.05,45.682,6.854
-0.1008,318.63,42.584,10.272
-0.0992,317.18,46.314,6.516
-0.0976,315.73,44.762,7.826
-0.096,315.25,43.736,8.878
-0.0944,312.35,44.222,8.356
-0.0928,309.93,41.636,10.934
-0.0912,307.75,45.68,6.868
-0.0896,306.3,44.904,7.69
-0.088,305.58,44.958,7.736
-0.0864,303.4,43.598,8.912
-0.0848,302.68,42.068,10.578
-0.0832,300.26,45.376,7.476
-0.0816,297.84,43.074,9.626
-0.08,296.15,45.072,7.64
-0.0784,293.01,46.606,6.046
-0.0768,292.04,44.07,8.49
-0.0752,289.62,44.788,7.762
-0.0736,288.17,42.684,9.954
-0.072,287.93,44.256,8.302
-0.0704,286.0,43.822,8.814
-0.0688,286.0,40.918,11.646
-0.0672,284.54,45.722,6.906
-0.0656,282.61,43.866,8.718
-0.064,280.68,45.824,6.96
