t_to_trip_s,wm_hat_hz,iq,iq_shed
-9.76,42.598,42.824,1.0
-9.72,42.532,44.3,1.0
-9.68,44.302,42.08,1.0
-9.64,44.096,41.428,1.0
-9.6,43.722,42.38,1.0
-9.56,45.292,40.518,1.0
-9.52,44.338,41.068,1.0
-9.48,43.738,42.36,1.0
-9.44,44.832,41.25,1.0
-9.4,44.854,40.79,1.0
-9.36,43.72,43.344,1.0
-9.32,45.206,42.39,1.0
-9.28,44.672,41.828,1.0
-9.24,42.836,44.264,1.0
-9.2,43.494,42.948,1.0
-9.16,43.72,43.322,1.0
-9.12,44.078,41.42,1.0
-9.08,43.766,42.96,1.0
-9.04,44.152,42.482,1.0
-9.0,44.148,41.97,1.0
-8.96,43.042,43.564,1.0
-8.92,44.08,42.752,1.0
-8.88,43.706,41.93,1.0
-8.84,43.374,43.604,1.0
-8.8,44.224,42.844,1.0
-8.76,43.734,42.35,1.0
-8.72,43.08,43.286,1.0
-8.68,44.078,42.484,1.0
-8.64,44.672,40.95,1.0
-8.6,43.962,42.346,1.0
-8.56,45.864,40.766,1.0
-8.52,45.314,40.826,1.0
-8.48,43.644,42.524,1.0
-8.44,44.46,42.082,1.0
-8.4,44.934,41.054,1.0
-8.36,43.474,43.394,1.0
-8.32,44.696,42.716,1.0
-8.28,44.186,42.32,1.0
-8.24,42.724,44.398,1.0
-8.2,43.038,43.334,1.0
-8.16,43.294,43.032,1.0
-8.12,43.434,41.612,1.0
-8.08,43.246,43.998,1.0
-8.04,44.172,42.026,1.0
-8.0,43.664,42.954,1.0
-7.96,42.676,43.864,1.0
-7.92,43.852,42.618,1.0
-7.88,43.316,41.796,1.0
-7.84,43.082,44.022,1.0
-7.8,44.244,42.65,1.0
-7.76,43.518,42.352,1.0
-7.72,42.984,43.078,1.0
-7.68,44.008,42.06,1.0
-7.64,44.322,41.164,1.0
-7.6,44.032,41.646,1.0
-7.56,45.08,41.534,1.0
-7.52,44.94,40.498,1.0
-7.48,43.406,42.594,1.0
-7.44,43.75,42.78,1.0
-7.4,44.33,41.896,1.0
-7.36,42.896,43.336,1.0
-7.32,44.082,43.24,1.0
-7.28,43.44,43.034,1.0
-7.24,43.176,42.56,1.0
-7.2,43.362,42.654,1.0
-7.16,43.496,43.044,1.0
-7.12,43.814,41.27,1.0
-7.08,43.474,42.634,1.0
-7.04,43.35,43.416,1.0
-7.0,43.37,42.018,1.0
-6.96,42.072,44.488,1.0
-6.92,43.196,44.064,1.0
-6.88,43.678,41.348,1.0
-6.84,43.678,42.024,1.0
-6.8,44.072,42.734,1.0
-6.76,43.604,41.602,1.0
-6.72,44.188,41.358,1.0
-6.68,44.136,41.866,1.0
-6.64,44.066,42.282,1.0
-6.6,44.83,40.656,1.0
-6.56,45.068,41.722,1.0
-6.52,44.05,42.736,1.0
-6.48,43.216,42.928,1.0
-6.44,43.324,43.416,1.0
-6.4,43.738,42.738,1.0
-6.36,42.836,42.994,1.0
-6.32,44.346,41.946,1.0
-6.28,43.858,43.27,1.0
-6.24,43.172,42.572,1.0
-6.2,43.714,42.472,1.0
-6.16,43.76,42.632,1.0
-6.12,42.158,45.39,1.0
-6.08,44.718,40.536,1.0
-6.04,43.362,44.05,1.0
-6.0,43.002,43.608,1.0
-5.96,44.056,41.65,1.0
-5.92,43.962,42.25,1.0
-5.88,43.458,42.216,1.0
-5.84,44.442,40.352,1.0
-5.8,45.454,41.214,1.0
-5.76,43.586,41.984,1.0
-5.72,44.988,40.478,1.0
-5.68,44.65,41.08,1.0
-5.64,44.274,42.09,1.0
-5.6,44.652,41.126,1.0
-5.56,45.06,42.176,1.0
-5.52,43.958,43.26,1.0
-5.48,43.176,42.764,1.0
-5.44,43.404,43.136,1.0
-5.4,43.742,42.66,1.0
-5.36,43.356,42.3,1.0
-5.32,44.582,41.316,1.0
-5.28,43.954,43.302,1.0
-5.24,43.138,42.268,1.0
-5.2,43.674,42.356,1.0
-5.16,43.666,42.568,1.0
-5.12,43.076,43.644,1.0
-5.08,44.028,41.466,1.0
-5.04,43.262,44.852,1.0
-5.0,43.608,42.12,1.0
-4.96,43.09,42.926,1.0
-4.92,43.666,43.314,1.0
-4.88,44.086,41.336,1.0
-4.84,44.39,40.978,1.0
-4.8,44.598,41.556,1.0
-4.76,43.88,41.124,1.0
-4.72,44.334,40.526,1.0
-4.68,44.08,42.228,1.0
-4.64,44.352,41.342,1.0
-4.6,44.072,41.418,1.0
-4.56,44.558,42.54,1.0
-4.52,44.186,42.036,1.0
-4.48,42.598,43.21,1.0
-4.44,43.146,43.298,1.0
-4.4,43.354,42.72,1.0
-4.36,43.3,41.68,1.0
-4.32,43.754,42.154,1.0
-4.28,43.384,42.54,1.0
-4.24,43.46,40.998,1.0
-4.2,42.956,42.918,1.0
-4.16,43.784,42.542,1.0
-4.12,43.52,41.74,1.0
-4.08,43.384,42.308,1.0
-4.04,43.336,43.648,1.0
-4.0,41.082,43.91,1.0
-3.96,41.456,44.356,1.0
-3.92,40.174,44.052,0.9824
-3.88,42.836,40.188,0.9795
-3.84,38.898,40.106,0.9821
-3.8,33.936,26.53,0.5529
-3.76,32.672,22.838,0.5308
-3.72,32.32,21.272,0.5423
-3.68,31.64,21.78,0.5501
-3.64,30.01,24.102,0.5502
-3.6,30.8,23.698,0.5513
-3.56,30.144,24.006,0.5508
-3.52,30.492,23.414,0.553
-3.48,30.328,23.878,0.5554
-3.44,31.298,22.854,0.5564
-3.4,29.486,25.42,0.5573
-3.36,30.832,23.234,0.5599
-3.32,32.312,21.628,0.5629
-3.28,31.52,23.012,0.5639
-3.24,30.546,24.598,0.5645
-3.2,30.14,24.758,0.5668
-3.16,31.05,24.426,0.5683
-3.12,32.108,22.298,0.5672
-3.08,31.094,22.974,0.5684
-3.04,31.14,24.424,0.5686
-3.0,30.862,23.16,0.5697
-2.96,30.776,24.226,0.5713
-2.92,31.024,24.39,0.5721
-2.88,30.944,23.814,0.569
-2.84,32.218,21.648,0.5717
-2.8,30.66,23.906,0.5739
-2.76,30.708,24.438,0.5742
-2.72,31.172,23.826,0.5711
-2.68,30.402,24.208,0.5742
-2.64,31.862,23.72,0.5766
-2.6,32.222,22.154,0.5754
-2.56,30.672,23.912,0.5768
