t_s,clock,VDC,IDC,PDC,VG_A,VG_B,VG_C,IINV_A,IINV_B,IINV_C,STS,MODE,FAULT_FLAGS,FREQ,SET_FREQ,MOD_IDX,TEMP,STOP_REASON,FAULT_UV_CNT,FAULT_OC_CNT,IU_INST,IW_INST
0.112,12:12:58.513,15.979,0.348,5.568,0.000,0.000,0.000,0.079,0.087,0.127,5.000,1.000,0.000,5.000,5.000,0.200,32.993,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
0.416,12:12:58.625,15.968,0.414,6.609,0.000,0.000,0.000,0.081,0.089,0.131,5.000,1.000,0.000,5.000,5.000,0.200,32.993,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
0.527,12:12:58.737,15.968,0.414,6.609,0.000,0.000,0.000,0.081,0.089,0.131,5.000,1.000,0.000,5.000,5.000,0.200,32.993,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
0.638,12:12:58.848,15.955,0.421,6.722,0.000,0.000,0.000,0.079,0.087,0.128,5.000,1.000,0.000,5.000,5.000,0.200,32.991,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
0.751,12:12:58.961,15.955,0.421,6.722,0.000,0.000,0.000,0.079,0.087,0.128,5.000,1.000,0.000,5.000,5.000,0.200,32.991,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
0.864,12:12:59.073,15.955,0.421,6.722,0.000,0.000,0.000,0.079,0.087,0.128,5.000,1.000,0.000,5.000,5.000,0.200,32.991,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
0.976,12:12:59.185,15.955,0.421,6.722,0.000,0.000,0.000,0.079,0.087,0.128,5.000,1.000,0.000,5.000,5.000,0.200,32.991,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
1.086,12:12:59.296,15.965,0.421,6.716,0.000,0.000,0.000,0.079,0.088,0.127,5.000,1.000,0.000,5.000,5.000,0.200,32.994,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
1.198,12:12:59.601,15.965,0.421,6.716,0.000,0.000,0.000,0.079,0.088,0.127,5.000,1.000,0.000,5.000,5.000,0.200,32.994,5.000,98.0,47.0,0.0,-0.05128205195069313
1.503,12:12:59.712,15.948,0.379,6.045,0.000,0.000,0.000,0.078,0.088,0.126,5.000,1.000,0.000,5.000,5.000,0.200,32.989,5.000,98.0,47.0,0.0,-0.05128205195069313
1.615,12:12:59.825,15.948,0.379,6.045,0.000,0.000,0.000,0.078,0.088,0.126,5.000,1.000,0.000,5.000,5.000,0.200,32.989,5.000,98.0,47.0,0.0,-0.05128205195069313
1.726,12:12:59.935,15.948,0.379,6.045,0.000,0.000,0.000,0.078,0.088,0.126,5.000,1.000,0.000,5.000,5.000,0.200,32.989,5.000,98.0,47.0,0.0,-0.05128205195069313
1.838,12:13:00.047,15.967,0.420,6.712,0.000,0.000,0.000,0.078,0.090,0.130,5.000,1.000,0.000,5.000,5.000,0.200,32.993,5.000,98.0,47.0,0.0,-0.05128205195069313
1.951,12:13:00.160,15.967,0.420,6.712,0.000,0.000,0.000,0.078,0.090,0.130,5.000,1.000,0.000,5.000,5.000,0.200,32.993,5.000,98.0,47.0,0.0,-0.05128205195069313
2.063,12:13:00.272,15.967,0.420,6.712,0.000,0.000,0.000,0.078,0.090,0.130,5.000,1.000,0.000,5.000,5.000,0.200,32.993,5.000,98.0,47.0,0.0,-0.05128205195069313
2.173,12:13:00.383,15.967,0.420,6.712,0.000,0.000,0.000,0.078,0.090,0.130,5.000,1.000,0.000,5.000,5.000,0.200,32.993,5.000,98.0,47.0,0.0,-0.05128205195069313
2.286,12:13:00.687,15.970,0.423,6.755,0.000,0.000,0.000,0.076,0.090,0.127,5.000,1.000,0.000,5.000,5.000,0.200,32.990,5.000,98.0,47.0,-0.10256410390138626,-0.05128205195069313
2.590,12:13:00.800,15.970,0.423,6.755,0.000,0.000,0.000,0.076,0.090,0.127,5.000,1.000,0.000,5.000,5.000,0.200,32.990,5.000,98.0,47.0,-0.10256410390138626,-0.05128205195069313
2.702,12:13:00.912,15.983,0.379,6.054,0.000,0.000,0.000,0.077,0.088,0.127,5.000,1.000,0.000,5.000,5.000,0.200,32.990,5.000,98.0,47.0,-0.10256410390138626,-0.05128205195069313
2.814,12:13:01.023,15.983,0.379,6.054,0.000,0.000,0.000,0.077,0.088,0.127,5.000,1.000,0.000,5.000,5.000,0.200,32.990,5.000,98.0,47.0,-0.10256410390138626,-0.05128205195069313
2.925,12:13:01.135,15.983,0.379,6.054,0.000,0.000,0.000,0.077,0.088,0.127,5.000,1.000,0.000,5.000,5.000,0.200,32.990,5.000,98.0,47.0,-0.10256410390138626,-0.05128205195069313
3.037,12:13:01.247,15.993,0.432,6.916,0.000,0.000,0.000,0.073,0.088,0.122,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.10256410390138626,-0.05128205195069313
3.149,12:13:01.359,15.993,0.432,6.916,0.000,0.000,0.000,0.073,0.088,0.122,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.10256410390138626,-0.05128205195069313
3.261,12:13:01.471,15.993,0.432,6.916,0.000,0.000,0.000,0.073,0.088,0.122,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.10256410390138626,-0.05128205195069313
3.373,12:13:01.774,15.993,0.432,6.916,0.000,0.000,0.000,0.073,0.088,0.122,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,0.05128205195069313,-0.05128205195069313
3.677,12:13:01.886,15.980,0.397,6.351,0.000,0.000,0.000,0.079,0.085,0.126,5.000,1.000,0.000,5.000,5.000,0.200,32.988,5.000,98.0,47.0,0.05128205195069313,-0.05128205195069313
3.789,12:13:01.998,15.980,0.397,6.351,0.000,0.000,0.000,0.079,0.085,0.126,5.000,1.000,0.000,5.000,5.000,0.200,32.988,5.000,98.0,47.0,0.05128205195069313,-0.05128205195069313
3.901,12:13:02.111,15.985,0.384,6.136,0.000,0.000,0.000,0.082,0.083,0.127,5.000,1.000,0.000,5.000,5.000,0.200,32.990,5.000,98.0,47.0,0.05128205195069313,-0.05128205195069313
4.013,12:13:02.223,15.985,0.384,6.136,0.000,0.000,0.000,0.082,0.083,0.127,5.000,1.000,0.000,5.000,5.000,0.200,32.990,5.000,98.0,47.0,0.05128205195069313,-0.05128205195069313
4.124,12:13:02.334,15.985,0.384,6.136,0.000,0.000,0.000,0.082,0.083,0.127,5.000,1.000,0.000,5.000,5.000,0.200,32.990,5.000,98.0,47.0,0.05128205195069313,-0.05128205195069313
4.236,12:13:02.446,15.978,0.434,6.935,0.000,0.000,0.000,0.074,0.089,0.124,5.000,1.000,0.000,5.000,5.000,0.200,32.991,5.000,98.0,47.0,0.05128205195069313,-0.05128205195069313
4.349,12:13:02.559,15.978,0.434,6.935,0.000,0.000,0.000,0.074,0.089,0.124,5.000,1.000,0.000,5.000,5.000,0.200,32.991,5.000,98.0,47.0,0.05128205195069313,-0.05128205195069313
4.460,12:13:02.861,15.978,0.434,6.935,0.000,0.000,0.000,0.074,0.089,0.124,5.000,1.000,0.000,5.000,5.000,0.200,32.991,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
4.765,12:13:02.975,15.975,0.406,6.479,0.000,0.000,0.000,0.076,0.088,0.126,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
4.877,12:13:03.086,15.975,0.406,6.479,0.000,0.000,0.000,0.076,0.088,0.126,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
4.989,12:13:03.198,15.975,0.406,6.479,0.000,0.000,0.000,0.076,0.088,0.126,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
5.101,12:13:03.310,15.990,0.412,6.594,0.000,0.000,0.000,0.072,0.086,0.118,5.000,1.000,0.000,5.000,5.000,0.200,32.986,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
5.213,12:13:03.423,15.990,0.412,6.594,0.000,0.000,0.000,0.072,0.086,0.118,5.000,1.000,0.000,5.000,5.000,0.200,32.986,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
5.324,12:13:03.534,15.990,0.412,6.594,0.000,0.000,0.000,0.072,0.086,0.118,5.000,1.000,0.000,5.000,5.000,0.200,32.986,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
5.437,12:13:03.647,15.990,0.412,6.594,0.000,0.000,0.000,0.072,0.086,0.118,5.000,1.000,0.000,5.000,5.000,0.200,32.986,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
5.548,12:13:03.949,15.965,0.455,7.262,0.000,0.000,0.000,0.075,0.086,0.121,5.000,1.000,0.000,5.000,5.000,0.200,32.987,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
5.852,12:13:04.061,15.985,0.380,6.075,0.000,0.000,0.000,0.075,0.083,0.118,5.000,1.000,0.000,5.000,5.000,0.200,32.985,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
5.963,12:13:04.173,15.985,0.380,6.075,0.000,0.000,0.000,0.075,0.083,0.118,5.000,1.000,0.000,5.000,5.000,0.200,32.985,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
6.076,12:13:04.286,15.985,0.380,6.075,0.000,0.000,0.000,0.075,0.083,0.118,5.000,1.000,0.000,5.000,5.000,0.200,32.985,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
6.188,12:13:04.398,15.985,0.380,6.075,0.000,0.000,0.000,0.075,0.083,0.118,5.000,1.000,0.000,5.000,5.000,0.200,32.985,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
6.300,12:13:04.509,15.973,0.421,6.731,0.000,0.000,0.000,0.073,0.083,0.116,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
6.411,12:13:04.621,15.973,0.421,6.731,0.000,0.000,0.000,0.073,0.083,0.116,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
6.523,12:13:04.733,15.973,0.421,6.731,0.000,0.000,0.000,0.073,0.083,0.116,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
6.636,12:13:05.037,15.973,0.421,6.731,0.000,0.000,0.000,0.073,0.083,0.116,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
6.939,12:13:05.149,15.977,0.439,7.013,0.000,0.000,0.000,0.071,0.084,0.114,5.000,1.000,0.000,5.000,5.000,0.200,32.987,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
7.051,12:13:05.261,15.977,0.439,7.013,0.000,0.000,0.000,0.071,0.084,0.114,5.000,1.000,0.000,5.000,5.000,0.200,32.987,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
7.164,12:13:05.373,15.972,0.445,7.115,0.000,0.000,0.000,0.074,0.083,0.117,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
7.274,12:13:05.484,15.972,0.445,7.115,0.000,0.000,0.000,0.074,0.083,0.117,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
7.387,12:13:05.597,15.972,0.445,7.115,0.000,0.000,0.000,0.074,0.083,0.117,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
7.499,12:13:05.709,15.980,0.414,6.620,0.000,0.000,0.000,0.075,0.083,0.120,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
7.611,12:13:05.821,15.980,0.414,6.620,0.000,0.000,0.000,0.075,0.083,0.120,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
7.722,12:13:06.124,15.980,0.414,6.620,0.000,0.000,0.000,0.075,0.083,0.120,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
8.028,12:13:06.237,15.979,0.435,6.953,0.000,0.000,0.000,0.071,0.085,0.114,5.000,1.000,0.000,5.000,5.000,0.200,32.979,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
8.139,12:13:06.348,15.979,0.435,6.953,0.000,0.000,0.000,0.071,0.085,0.114,5.000,1.000,0.000,5.000,5.000,0.200,32.979,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
8.250,12:13:06.459,15.979,0.435,6.953,0.000,0.000,0.000,0.071,0.085,0.114,5.000,1.000,0.000,5.000,5.000,0.200,32.979,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
8.362,12:13:06.571,15.977,0.429,6.859,0.000,0.000,0.000,0.073,0.088,0.123,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
8.474,12:13:06.683,15.977,0.429,6.859,0.000,0.000,0.000,0.073,0.088,0.123,5.000,1.000,0.000,5.000,5.000,0.200,32.984,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
