t_s,clock,VDC,IDC,PDC,VG_A,VG_B,VG_C,IINV_A,IINV_B,IINV_C,STS,MODE,FAULT_FLAGS,FREQ,SET_FREQ,MOD_IDX,TEMP,STOP_REASON,FAULT_UV_CNT,FAULT_OC_CNT,IU_INST,IW_INST
0.176,12:16:55.308,524.338,0.231,121.108,0.000,0.000,0.000,0.066,0.045,0.074,1.000,1.000,0.000,0.100,0.100,0.010,31.775,5.000,99.0,47.0,-0.05128205195069313,-0.05128205195069313
0.480,12:16:55.420,524.338,0.231,121.108,0.000,0.000,0.000,0.066,0.045,0.074,1.000,1.000,0.000,0.100,0.100,0.010,31.775,5.000,99.0,47.0,-0.05128205195069313,-0.05128205195069313
0.590,12:16:55.531,526.180,0.270,142.060,0.000,0.000,0.000,0.064,0.043,0.071,1.000,1.000,0.000,0.119,0.300,0.010,32.638,5.000,99.0,47.0,-0.05128205195069313,-0.05128205195069313
0.702,12:16:55.643,526.180,0.270,142.060,0.000,0.000,0.000,0.064,0.043,0.071,1.000,1.000,0.000,0.119,0.300,0.010,32.638,5.000,99.0,47.0,-0.05128205195069313,-0.05128205195069313
0.815,12:16:55.756,526.180,0.270,142.060,0.000,0.000,0.000,0.064,0.043,0.071,1.000,1.000,0.000,0.119,0.300,0.010,32.638,5.000,99.0,47.0,-0.05128205195069313,-0.05128205195069313
0.926,12:16:55.867,526.180,0.270,142.060,0.000,0.000,0.000,0.064,0.043,0.071,1.000,1.000,0.000,0.119,0.300,0.010,32.638,5.000,99.0,47.0,-0.05128205195069313,-0.05128205195069313
1.039,12:16:55.979,526.135,0.272,143.076,0.000,0.000,0.000,0.056,0.054,0.066,1.000,1.000,0.000,0.300,0.300,0.010,32.684,5.000,99.0,47.0,-0.05128205195069313,-0.05128205195069313
1.152,12:16:56.092,526.135,0.272,143.076,0.000,0.000,0.000,0.056,0.054,0.066,1.000,1.000,0.000,0.300,0.300,0.010,32.684,5.000,99.0,47.0,-0.05128205195069313,-0.05128205195069313
1.262,12:16:57.434,526.135,0.272,143.076,0.000,0.000,0.000,0.056,0.054,0.066,1.000,1.000,0.000,0.300,0.300,0.010,32.684,5.000,99.0,47.0,0.0,0.05128205195069313
2.621,12:16:57.754,526.058,0.268,141.213,0.000,0.000,0.000,0.131,0.187,0.087,1.000,1.000,0.000,0.919,1.100,0.019,32.694,5.000,99.0,47.0,0.05128205195069313,-0.20512820780277252
2.935,12:16:57.876,526.058,0.268,141.213,0.000,0.000,0.000,0.131,0.187,0.087,1.000,1.000,0.000,0.919,1.100,0.019,32.694,5.000,99.0,47.0,0.05128205195069313,-0.20512820780277252
4.103,12:16:59.236,525.878,0.351,184.432,0.000,0.000,0.000,2.550,2.649,0.374,1.000,1.000,1.000,1.499,1.500,0.031,32.709,5.000,99.0,47.0,-0.20512820780277252,-2.5641026496887207
4.407,12:16:59.347,525.850,0.376,197.722,0.000,0.000,0.000,1.821,3.248,1.855,1.000,1.000,1.000,1.699,1.700,0.036,32.744,5.000,99.0,47.0,-0.20512820780277252,-2.5641026496887207
4.518,12:16:59.459,525.850,0.376,197.722,0.000,0.000,0.000,1.821,3.248,1.855,1.000,1.000,1.000,1.699,1.700,0.036,32.744,5.000,99.0,47.0,-0.20512820780277252,-2.5641026496887207
4.646,12:16:59.587,525.824,0.377,197.991,0.000,0.000,0.000,1.707,1.863,3.109,1.000,1.000,1.000,1.718,1.900,0.036,32.783,5.000,99.0,47.0,-0.20512820780277252,-2.5641026496887207
4.759,12:16:59.699,525.824,0.377,197.991,0.000,0.000,0.000,1.707,1.863,3.109,1.000,1.000,1.000,1.718,1.900,0.036,32.783,5.000,99.0,47.0,-0.20512820780277252,-2.5641026496887207
4.871,12:16:59.811,525.824,0.377,197.991,0.000,0.000,0.000,1.707,1.863,3.109,1.000,1.000,1.000,1.718,1.900,0.036,32.783,5.000,99.0,47.0,-0.20512820780277252,-2.5641026496887207
4.983,12:16:59.924,525.824,0.377,197.991,0.000,0.000,0.000,1.707,1.863,3.109,1.000,1.000,1.000,1.718,1.900,0.036,32.783,5.000,99.0,47.0,-0.20512820780277252,-2.5641026496887207
5.093,12:17:00.034,525.839,0.382,201.115,0.000,0.000,0.000,2.916,3.125,0.922,1.000,1.000,1.000,1.899,1.900,0.040,32.842,5.000,99.0,47.0,-0.20512820780277252,-2.5641026496887207
5.207,12:17:00.339,525.839,0.382,201.115,0.000,0.000,0.000,2.916,3.125,0.922,1.000,1.000,1.000,1.899,1.900,0.040,32.842,5.000,99.0,47.0,-0.9743589758872986,2.2564103603363037
5.510,12:17:00.451,525.802,0.395,207.628,0.000,0.000,0.000,2.721,1.593,3.353,1.000,1.000,0.000,2.099,2.100,0.044,32.876,5.000,99.0,47.0,-0.9743589758872986,2.2564103603363037
5.621,12:17:00.562,525.802,0.395,207.628,0.000,0.000,0.000,2.721,1.593,3.353,1.000,1.000,0.000,2.099,2.100,0.044,32.876,5.000,99.0,47.0,-0.9743589758872986,2.2564103603363037
5.734,12:17:00.674,525.802,0.395,207.628,0.000,0.000,0.000,2.721,1.593,3.353,1.000,1.000,0.000,2.099,2.100,0.044,32.876,5.000,99.0,47.0,-0.9743589758872986,2.2564103603363037
5.846,12:17:00.786,525.802,0.395,207.628,0.000,0.000,0.000,2.721,1.593,3.353,1.000,1.000,0.000,2.099,2.100,0.044,32.876,5.000,99.0,47.0,-0.9743589758872986,2.2564103603363037
5.957,12:17:00.898,525.749,0.454,238.578,0.000,0.000,0.000,1.476,4.426,4.102,1.000,1.000,1.000,2.299,2.300,0.048,32.922,5.000,99.0,47.0,-0.9743589758872986,2.2564103603363037
6.069,12:17:01.010,525.749,0.454,238.578,0.000,0.000,0.000,1.476,4.426,4.102,1.000,1.000,1.000,2.299,2.300,0.048,32.922,5.000,99.0,47.0,-0.9743589758872986,2.2564103603363037
6.182,12:17:01.122,525.749,0.454,238.578,0.000,0.000,0.000,1.476,4.426,4.102,1.000,1.000,1.000,2.299,2.300,0.048,32.922,5.000,99.0,47.0,-0.9743589758872986,2.2564103603363037
6.293,12:17:01.425,525.645,0.473,248.632,0.000,0.000,0.000,2.806,5.251,3.185,1.000,1.000,1.000,2.499,2.500,0.052,32.955,5.000,99.0,47.0,-2.5128204822540283,-2.615384578704834
6.596,12:17:01.537,525.645,0.473,248.632,0.000,0.000,0.000,2.806,5.251,3.185,1.000,1.000,1.000,2.499,2.500,0.052,32.955,5.000,99.0,47.0,-2.5128204822540283,-2.615384578704834
6.708,12:17:01.649,525.616,0.486,255.298,0.000,0.000,0.000,3.218,5.627,3.234,1.000,1.000,1.000,2.518,2.700,0.053,33.011,5.000,99.0,47.0,-2.5128204822540283,-2.615384578704834
6.821,12:17:01.761,525.616,0.486,255.298,0.000,0.000,0.000,3.218,5.627,3.234,1.000,1.000,1.000,2.518,2.700,0.053,33.011,5.000,99.0,47.0,-2.5128204822540283,-2.615384578704834
6.933,12:17:01.874,525.616,0.486,255.298,0.000,0.000,0.000,3.218,5.627,3.234,1.000,1.000,1.000,2.518,2.700,0.053,33.011,5.000,99.0,47.0,-2.5128204822540283,-2.615384578704834
7.045,12:17:01.986,525.616,0.486,255.298,0.000,0.000,0.000,3.218,5.627,3.234,1.000,1.000,1.000,2.518,2.700,0.053,33.011,5.000,99.0,47.0,-2.5128204822540283,-2.615384578704834
7.158,12:17:02.098,525.628,0.511,268.399,0.000,0.000,0.000,2.582,5.886,4.684,1.000,1.000,1.000,2.700,2.700,0.057,33.089,5.000,99.0,47.0,-2.5128204822540283,-2.615384578704834
7.269,12:17:02.210,525.628,0.511,268.399,0.000,0.000,0.000,2.582,5.886,4.684,1.000,1.000,1.000,2.700,2.700,0.057,33.089,5.000,99.0,47.0,-2.5128204822540283,-2.615384578704834
7.380,12:17:02.514,525.628,0.511,268.399,0.000,0.000,0.000,2.582,5.886,4.684,1.000,1.000,1.000,2.700,2.700,0.057,33.089,5.000,99.0,47.0,-7.128205299377441,6.564102649688721
7.684,12:17:02.625,525.569,0.540,283.702,0.000,0.000,0.000,3.986,4.352,6.274,1.000,1.000,0.000,2.900,2.900,0.061,33.167,5.000,99.0,47.0,-7.128205299377441,6.564102649688721
7.797,12:17:02.738,525.569,0.540,283.702,0.000,0.000,0.000,3.986,4.352,6.274,1.000,1.000,0.000,2.900,2.900,0.061,33.167,5.000,99.0,47.0,-7.128205299377441,6.564102649688721
7.908,12:17:02.848,525.491,0.586,308.139,0.000,0.000,0.000,7.250,5.228,4.027,1.000,1.000,1.000,3.100,3.100,0.065,33.246,5.000,99.0,47.0,-7.128205299377441,6.564102649688721
8.020,12:17:02.961,525.491,0.586,308.139,0.000,0.000,0.000,7.250,5.228,4.027,1.000,1.000,1.000,3.100,3.100,0.065,33.246,5.000,99.0,47.0,-7.128205299377441,6.564102649688721
8.132,12:17:03.072,525.491,0.586,308.139,0.000,0.000,0.000,7.250,5.228,4.027,1.000,1.000,1.000,3.100,3.100,0.065,33.246,5.000,99.0,47.0,-7.128205299377441,6.564102649688721
8.244,12:17:03.185,525.491,0.586,308.139,0.000,0.000,0.000,7.250,5.228,4.027,1.000,1.000,1.000,3.100,3.100,0.065,33.246,5.000,99.0,47.0,-7.128205299377441,6.564102649688721
8.357,12:17:03.298,525.471,0.603,316.642,0.000,0.000,0.000,3.355,6.737,6.891,1.000,1.000,1.000,3.300,3.300,0.069,33.330,5.000,99.0,47.0,-7.128205299377441,6.564102649688721
8.468,12:17:03.600,525.471,0.603,316.642,0.000,0.000,0.000,3.355,6.737,6.891,1.000,1.000,1.000,3.300,3.300,0.069,33.330,5.000,99.0,47.0,8.051281929016113,-2.923076868057251
8.772,12:17:03.712,525.367,0.633,332.518,0.000,0.000,0.000,7.033,7.073,3.959,1.000,1.000,1.000,3.319,3.500,0.069,33.406,5.000,99.0,47.0,8.051281929016113,-2.923076868057251
8.883,12:17:03.824,525.367,0.633,332.518,0.000,0.000,0.000,7.033,7.073,3.959,1.000,1.000,1.000,3.319,3.500,0.069,33.406,5.000,99.0,47.0,8.051281929016113,-2.923076868057251
8.996,12:17:03.937,525.367,0.633,332.518,0.000,0.000,0.000,7.033,7.073,3.959,1.000,1.000,1.000,3.319,3.500,0.069,33.406,5.000,99.0,47.0,8.051281929016113,-2.923076868057251
9.108,12:17:04.049,525.316,0.685,360.096,0.000,0.000,0.000,8.100,4.922,6.786,1.000,1.000,1.000,3.500,3.500,0.073,33.520,5.000,99.0,47.0,8.051281929016113,-2.923076868057251
9.220,12:17:04.161,525.316,0.685,360.096,0.000,0.000,0.000,8.100,4.922,6.786,1.000,1.000,1.000,3.500,3.500,0.073,33.520,5.000,99.0,47.0,8.051281929016113,-2.923076868057251
9.332,12:17:04.273,525.316,0.685,360.096,0.000,0.000,0.000,8.100,4.922,6.786,1.000,1.000,1.000,3.500,3.500,0.073,33.520,5.000,99.0,47.0,8.051281929016113,-2.923076868057251
9.444,12:17:04.384,525.316,0.685,360.096,0.000,0.000,0.000,8.100,4.922,6.786,1.000,1.000,1.000,3.500,3.500,0.073,33.520,5.000,99.0,47.0,8.051281929016113,-2.923076868057251
9.556,12:17:04.688,525.222,0.756,396.854,0.000,0.000,0.000,7.218,5.798,9.422,1.000,1.000,0.000,3.700,3.700,0.077,33.614,5.000,99.0,47.0,1.5897436141967773,-10.410256385803223
9.859,12:17:04.799,525.222,0.756,396.854,0.000,0.000,0.000,7.218,5.798,9.422,1.000,1.000,0.000,3.700,3.700,0.077,33.614,5.000,99.0,47.0,1.5897436141967773,-10.410256385803223
9.971,12:17:04.912,525.117,0.822,431.838,0.000,0.000,0.000,8.123,6.833,9.725,1.000,1.000,1.000,3.900,3.900,0.082,33.706,5.000,99.0,47.0,1.5897436141967773,-10.410256385803223
10.083,12:17:05.023,525.117,0.822,431.838,0.000,0.000,0.000,8.123,6.833,9.725,1.000,1.000,1.000,3.900,3.900,0.082,33.706,5.000,99.0,47.0,1.5897436141967773,-10.410256385803223
10.195,12:17:05.135,525.117,0.822,431.838,0.000,0.000,0.000,8.123,6.833,9.725,1.000,1.000,1.000,3.900,3.900,0.082,33.706,5.000,99.0,47.0,1.5897436141967773,-10.410256385803223
10.307,12:17:05.247,525.117,0.822,431.838,0.000,0.000,0.000,8.123,6.833,9.725,1.000,1.000,1.000,3.900,3.900,0.082,33.706,5.000,99.0,47.0,1.5897436141967773,-10.410256385803223
10.419,12:17:05.359,525.099,0.843,442.607,0.000,0.000,0.000,9.204,6.592,9.180,1.000,1.000,1.000,4.100,4.100,0.086,33.847,5.000,99.0,47.0,1.5897436141967773,-10.410256385803223
10.531,12:17:05.472,525.099,0.843,442.607,0.000,0.000,0.000,9.204,6.592,9.180,1.000,1.000,1.000,4.100,4.100,0.086,33.847,5.000,99.0,47.0,1.5897436141967773,-10.410256385803223
10.643,12:17:05.775,525.099,0.843,442.607,0.000,0.000,0.000,9.204,6.592,9.180,1.000,1.000,1.000,4.100,4.100,0.086,33.847,5.000,99.0,47.0,12.0,-6.307692527770996
10.947,12:17:05.888,525.013,0.922,483.809,0.000,0.000,0.000,10.716,9.674,6.904,1.000,1.000,1.000,4.119,4.300,0.086,33.982,5.000,99.0,47.0,12.0,-6.307692527770996
11.058,12:17:05.998,525.013,0.922,483.809,0.000,0.000,0.000,10.716,9.674,6.904,1.000,1.000,1.000,4.119,4.300,0.086,33.982,5.000,99.0,47.0,12.0,-6.307692527770996
11.170,12:17:06.111,524.834,1.008,529.115,0.000,0.000,0.000,7.870,11.232,10.680,1.000,1.000,1.000,4.300,4.300,0.090,34.095,5.000,99.0,47.0,12.0,-6.307692527770996
11.282,12:17:06.223,524.834,1.008,529.115,0.000,0.000,0.000,7.870,11.232,10.680,1.000,1.000,1.000,4.300,4.300,0.090,34.095,5.000,99.0,47.0,12.0,-6.307692527770996
11.394,12:17:06.335,524.834,1.008,529.115,0.000,0.000,0.000,7.870,11.232,10.680,1.000,1.000,1.000,4.300,4.300,0.090,34.095,5.000,99.0,47.0,12.0,-6.307692527770996
11.506,12:17:06.447,524.834,1.008,529.115,0.000,0.000,0.000,7.870,11.232,10.680,1.000,1.000,1.000,4.300,4.300,0.090,34.095,5.000,99.0,47.0,12.0,-6.307692527770996
11.617,12:17:06.558,524.678,1.113,583.714,0.000,0.000,0.000,12.218,10.122,9.834,1.000,1.000,0.000,4.500,4.500,0.094,34.244,5.000,99.0,47.0,12.0,-6.307692527770996
11.731,12:17:06.862,524.678,1.113,583.714,0.000,0.000,0.000,12.218,10.122,9.834,1.000,1.000,0.000,4.500,4.500,0.094,34.244,5.000,99.0,47.0,-7.384615421295166,-8.461538314819336
