t_s,clock,VDC,IDC,PDC,VG_A,VG_B,VG_C,IINV_A,IINV_B,IINV_C,STS,MODE,FAULT_FLAGS,FREQ,SET_FREQ,MOD_IDX,TEMP,STOP_REASON,FAULT_UV_CNT,FAULT_OC_CNT,IU_INST,IW_INST
0.109,12:24:54.549,489.943,25.247,12369.588,0.000,0.000,0.000,25.752,27.047,26.798,1.000,1.000,0.000,43.519,43.700,0.940,54.881,5.000,99.0,47.0,-29.743589401245117,-3.8974359035491943
0.413,12:24:54.662,489.943,25.247,12369.588,0.000,0.000,0.000,25.752,27.047,26.798,1.000,1.000,0.000,43.519,43.700,0.940,54.881,5.000,99.0,47.0,-29.743589401245117,-3.8974359035491943
0.525,12:24:54.774,486.752,26.590,12942.894,0.000,0.000,0.000,27.278,28.011,27.821,1.000,1.000,0.000,44.318,44.500,0.940,54.951,5.000,99.0,47.0,-29.743589401245117,-3.8974359035491943
0.637,12:24:55.077,486.752,26.590,12942.894,0.000,0.000,0.000,27.278,28.011,27.821,1.000,1.000,0.000,44.318,44.500,0.940,54.951,5.000,99.0,47.0,33.43589782714844,-41.33333206176758
0.941,12:24:55.189,483.087,28.044,13547.779,0.000,0.000,0.000,28.102,29.092,29.888,1.000,1.000,0.000,45.119,45.300,0.940,55.080,5.000,99.0,47.0,33.43589782714844,-41.33333206176758
1.052,12:24:55.300,483.087,28.044,13547.779,0.000,0.000,0.000,28.102,29.092,29.888,1.000,1.000,0.000,45.119,45.300,0.940,55.080,5.000,99.0,47.0,33.43589782714844,-41.33333206176758
1.164,12:24:55.604,483.087,28.044,13547.779,0.000,0.000,0.000,28.102,29.092,29.888,1.000,1.000,0.000,45.119,45.300,0.940,55.080,5.000,99.0,47.0,-42.30769348144531,9.64102554321289
1.468,12:24:55.716,479.267,29.440,14109.474,0.000,0.000,0.000,30.435,30.196,30.557,1.000,1.000,0.000,45.919,46.100,0.940,55.214,5.000,99.0,47.0,-42.30769348144531,9.64102554321289
1.581,12:24:55.830,479.267,29.440,14109.474,0.000,0.000,0.000,30.435,30.196,30.557,1.000,1.000,0.000,45.919,46.100,0.940,55.214,5.000,99.0,47.0,-42.30769348144531,9.64102554321289
1.692,12:24:56.133,474.644,31.040,14732.890,0.000,0.000,0.000,31.856,31.456,32.571,1.000,1.000,0.000,46.718,46.900,0.940,55.442,5.000,99.0,47.0,37.07692337036133,-46.20512771606445
1.996,12:24:56.245,474.644,31.040,14732.890,0.000,0.000,0.000,31.856,31.456,32.571,1.000,1.000,0.000,46.718,46.900,0.940,55.442,5.000,99.0,47.0,37.07692337036133,-46.20512771606445
2.108,12:24:56.356,469.503,32.660,15333.885,0.000,0.000,0.000,32.208,34.454,34.476,1.000,1.000,0.000,47.519,47.700,0.940,55.671,5.000,99.0,47.0,37.07692337036133,-46.20512771606445
2.219,12:24:56.676,469.503,32.660,15333.885,0.000,0.000,0.000,32.208,34.454,34.476,1.000,1.000,0.000,47.519,47.700,0.940,55.671,5.000,99.0,47.0,41.43589782714844,50.512821197509766
2.539,12:24:56.787,463.106,34.420,15940.132,0.000,0.000,0.000,34.412,35.401,36.770,1.000,1.000,0.000,48.318,48.500,0.940,55.970,5.000,99.0,47.0,41.43589782714844,50.512821197509766
2.651,12:24:56.900,463.106,34.420,15940.132,0.000,0.000,0.000,34.412,35.401,36.770,1.000,1.000,0.000,48.318,48.500,0.940,55.970,5.000,99.0,47.0,41.43589782714844,50.512821197509766
2.763,12:24:57.203,463.106,34.420,15940.132,0.000,0.000,0.000,34.412,35.401,36.770,1.000,1.000,0.000,48.318,48.500,0.940,55.970,5.000,99.0,47.0,36.46154022216797,14.769230842590332
3.068,12:24:57.316,460.218,35.146,16174.693,0.000,0.000,0.000,35.203,37.179,36.661,1.000,1.000,0.000,48.318,48.500,0.940,56.292,5.000,99.0,47.0,36.46154022216797,14.769230842590332
3.179,12:24:57.428,460.218,35.146,16174.693,0.000,0.000,0.000,35.203,37.179,36.661,1.000,1.000,0.000,48.318,48.500,0.940,56.292,5.000,99.0,47.0,36.46154022216797,14.769230842590332
3.307,12:24:57.748,455.752,36.142,16471.836,0.000,0.000,0.000,36.916,37.926,37.598,1.000,1.000,0.000,48.681,48.500,0.940,56.666,5.000,99.0,47.0,-54.10256576538086,19.33333396911621
3.610,12:24:57.859,455.752,36.142,16471.836,0.000,0.000,0.000,36.916,37.926,37.598,1.000,1.000,0.000,48.681,48.500,0.940,56.666,5.000,99.0,47.0,-54.10256576538086,19.33333396911621
3.723,12:24:57.972,459.441,35.363,16247.426,0.000,0.000,0.000,36.236,36.848,36.525,1.000,1.000,0.000,48.681,48.500,0.940,56.984,5.000,99.0,47.0,-54.10256576538086,19.33333396911621
3.835,12:24:58.276,459.441,35.363,16247.426,0.000,0.000,0.000,36.236,36.848,36.525,1.000,1.000,0.000,48.681,48.500,0.940,56.984,5.000,99.0,47.0,48.20512771606445,-40.0512809753418
4.139,12:24:58.387,463.246,34.465,15965.886,0.000,0.000,0.000,35.255,35.062,36.281,1.000,1.000,0.000,48.318,48.500,0.940,57.321,5.000,99.0,47.0,48.20512771606445,-40.0512809753418
4.250,12:24:58.499,463.246,34.465,15965.886,0.000,0.000,0.000,35.255,35.062,36.281,1.000,1.000,0.000,48.318,48.500,0.940,57.321,5.000,99.0,47.0,48.20512771606445,-40.0512809753418
4.363,12:24:58.803,463.246,34.465,15965.886,0.000,0.000,0.000,35.255,35.062,36.281,1.000,1.000,0.000,48.318,48.500,0.940,57.321,5.000,99.0,47.0,49.69230651855469,-36.61538314819336
4.667,12:24:58.916,459.778,35.283,16222.559,0.000,0.000,0.000,35.160,36.816,37.493,1.000,1.000,0.000,48.719,48.900,0.940,57.560,5.000,99.0,47.0,49.69230651855469,-36.61538314819336
4.778,12:24:59.026,459.778,35.283,16222.559,0.000,0.000,0.000,35.160,36.816,37.493,1.000,1.000,0.000,48.719,48.900,0.940,57.560,5.000,99.0,47.0,49.69230651855469,-36.61538314819336
4.890,12:24:59.331,459.778,35.283,16222.559,0.000,0.000,0.000,35.160,36.816,37.493,1.000,1.000,0.000,48.719,48.900,0.940,57.560,5.000,99.0,47.0,-16.41025733947754,49.846153259277344
5.193,12:24:59.442,455.768,36.149,16475.676,0.000,0.000,0.000,36.225,37.854,38.360,1.000,1.000,0.000,48.681,48.500,0.940,57.871,5.000,99.0,47.0,-16.41025733947754,49.846153259277344
5.305,12:24:59.554,455.768,36.149,16475.676,0.000,0.000,0.000,36.225,37.854,38.360,1.000,1.000,0.000,48.681,48.500,0.940,57.871,5.000,99.0,47.0,-16.41025733947754,49.846153259277344
5.417,12:24:59.858,459.783,35.286,16224.107,0.000,0.000,0.000,35.126,37.158,37.248,1.000,1.000,0.000,48.280,48.100,0.940,58.118,5.000,99.0,47.0,-4.820512771606445,-43.230770111083984
5.721,12:24:59.969,459.783,35.286,16224.107,0.000,0.000,0.000,35.126,37.158,37.248,1.000,1.000,0.000,48.280,48.100,0.940,58.118,5.000,99.0,47.0,-4.820512771606445,-43.230770111083984
5.833,12:25:00.081,463.446,34.422,15952.769,0.000,0.000,0.000,35.376,35.658,35.429,1.000,1.000,0.000,48.318,48.500,0.940,58.318,5.000,99.0,47.0,-4.820512771606445,-43.230770111083984
5.946,12:25:00.385,463.446,34.422,15952.769,0.000,0.000,0.000,35.376,35.658,35.429,1.000,1.000,0.000,48.318,48.500,0.940,58.318,5.000,99.0,47.0,17.128204345703125,-49.128204345703125
6.249,12:25:00.497,459.908,35.259,16216.090,0.000,0.000,0.000,35.947,36.068,37.378,1.000,1.000,0.000,48.280,48.100,0.940,58.510,5.000,99.0,47.0,17.128204345703125,-49.128204345703125
6.361,12:25:00.609,459.908,35.259,16216.090,0.000,0.000,0.000,35.947,36.068,37.378,1.000,1.000,0.000,48.280,48.100,0.940,58.510,5.000,99.0,47.0,17.128204345703125,-49.128204345703125
