t_s,clock,VDC,IDC,PDC,VG_A,VG_B,VG_C,IINV_A,IINV_B,IINV_C,STS,MODE,FAULT_FLAGS,FREQ,SET_FREQ,MOD_IDX,TEMP,STOP_REASON,FAULT_UV_CNT,FAULT_OC_CNT,IU_INST,IW_INST
0.111,12:53:11.273,532.658,0.821,437.555,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,5.000,5.000,0.103,42.875,5.000,100.0,47.0,0.0,-0.05128205195069313
0.446,12:53:11.417,534.565,0.859,459.278,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,42.817,5.000,100.0,47.0,0.0,-0.05128205195069313
0.590,12:53:11.480,534.565,0.859,459.278,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,42.817,5.000,100.0,47.0,0.0,-0.05128205195069313
0.654,12:53:11.544,534.521,0.854,456.346,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,42.817,5.000,100.0,47.0,0.0,-0.05128205195069313
0.718,12:53:11.689,534.521,0.854,456.346,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,43.496,5.000,100.0,47.0,0.0,-0.05128205195069313
0.862,12:53:11.753,534.521,0.854,456.346,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,43.496,5.000,100.0,47.0,0.0,-0.05128205195069313
0.927,12:53:11.817,534.521,0.854,456.346,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,43.496,5.000,100.0,47.0,0.0,-0.05128205195069313
0.990,12:53:11.960,534.521,0.854,456.346,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.320,0.500,0.010,43.479,5.000,100.0,47.0,0.0,-0.05128205195069313
1.134,12:53:12.217,534.480,0.852,455.515,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.320,0.500,0.010,43.479,5.000,100.0,47.0,-0.10256410390138626,-0.05128205195069313
1.391,12:53:12.360,534.480,0.852,455.515,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,43.409,5.000,100.0,47.0,-0.10256410390138626,-0.05128205195069313
1.534,12:53:12.424,534.457,0.854,456.236,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,43.409,5.000,100.0,47.0,-0.10256410390138626,-0.05128205195069313
1.598,12:53:12.489,534.457,0.854,456.236,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,43.409,5.000,100.0,47.0,-0.10256410390138626,-0.05128205195069313
1.662,12:53:12.633,534.457,0.854,456.236,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,43.409,5.000,100.0,47.0,-0.10256410390138626,-0.05128205195069313
1.805,12:53:12.696,534.457,0.854,456.236,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,43.409,5.000,100.0,47.0,-0.10256410390138626,-0.05128205195069313
1.870,12:53:12.760,534.475,0.855,456.814,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,43.409,5.000,100.0,47.0,-0.10256410390138626,-0.05128205195069313
1.933,12:53:12.905,534.475,0.855,456.814,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,43.447,5.000,100.0,47.0,-0.10256410390138626,-0.05128205195069313
2.078,12:53:12.969,534.475,0.855,456.814,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,43.447,5.000,100.0,47.0,-0.10256410390138626,-0.05128205195069313
2.141,12:53:13.239,534.475,0.855,456.814,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,43.447,5.000,100.0,47.0,0.1538461595773697,-0.10256410390138626
2.749,12:53:13.719,534.412,0.852,455.249,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.100,1.100,0.023,43.390,5.000,100.0,47.0,0.1538461595773697,-0.10256410390138626
2.892,12:53:13.783,534.412,0.852,455.249,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.100,1.100,0.023,43.390,5.000,100.0,47.0,0.1538461595773697,-0.10256410390138626
2.956,12:53:13.847,534.412,0.852,455.249,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.100,1.100,0.023,43.390,5.000,100.0,47.0,0.1538461595773697,-0.10256410390138626
3.020,12:53:13.991,534.412,0.852,455.249,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.119,1.300,0.023,43.361,5.000,100.0,47.0,0.1538461595773697,-0.10256410390138626
3.164,12:53:14.247,534.401,0.863,461.182,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.119,1.300,0.023,43.361,5.000,100.0,47.0,0.5128205418586731,0.10256410390138626
3.420,12:53:14.391,534.401,0.863,461.182,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.299,1.300,0.027,43.340,5.000,100.0,47.0,0.5128205418586731,0.10256410390138626
3.900,12:53:14.871,534.227,0.927,495.086,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.499,1.500,0.031,43.313,5.000,100.0,47.0,0.5128205418586731,0.10256410390138626
4.045,12:53:14.935,534.227,0.927,495.086,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.499,1.500,0.031,43.313,5.000,100.0,47.0,0.5128205418586731,0.10256410390138626
4.108,12:53:14.999,534.227,0.927,495.086,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.499,1.500,0.031,43.313,5.000,100.0,47.0,0.5128205418586731,0.10256410390138626
