t_s,clock,VDC,IDC,PDC,VG_A,VG_B,VG_C,IINV_A,IINV_B,IINV_C,STS,MODE,FAULT_FLAGS,FREQ,SET_FREQ,MOD_IDX,TEMP,STOP_REASON,FAULT_UV_CNT,FAULT_OC_CNT,IU_INST,IW_INST
0.399,13:00:17.555,536.844,0.824,442.444,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,46.847,5.000,101.0,47.0,0.05128205195069313,0.0
0.734,13:00:17.700,536.776,0.826,443.478,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,46.886,5.000,101.0,47.0,0.05128205195069313,0.0
1.233,13:00:18.197,536.726,0.823,441.963,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,46.823,5.000,101.0,47.0,0.05128205195069313,0.0
1.376,13:00:18.260,536.726,0.823,441.963,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,46.823,5.000,101.0,47.0,0.05128205195069313,0.0
1.441,13:00:18.516,536.726,0.823,441.963,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,46.823,5.000,101.0,47.0,-0.10256410390138626,0.0
1.697,13:00:18.659,536.703,0.825,442.920,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.519,0.700,0.011,46.752,5.000,101.0,47.0,-0.10256410390138626,0.0
1.840,13:00:18.724,536.703,0.825,442.920,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.519,0.700,0.011,46.752,5.000,101.0,47.0,-0.10256410390138626,0.0
1.904,13:00:18.788,536.703,0.825,442.920,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.519,0.700,0.011,46.752,5.000,101.0,47.0,-0.10256410390138626,0.0
1.968,13:00:18.932,536.683,0.827,443.854,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,46.701,5.000,101.0,47.0,-0.10256410390138626,0.0
2.112,13:00:18.996,536.683,0.827,443.854,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,46.701,5.000,101.0,47.0,-0.10256410390138626,0.0
2.175,13:00:19.059,536.683,0.827,443.854,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,46.701,5.000,101.0,47.0,-0.10256410390138626,0.0
2.240,13:00:19.204,536.683,0.827,443.854,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,46.701,5.000,101.0,47.0,-0.10256410390138626,0.0
2.384,13:00:19.268,536.656,0.829,444.748,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,46.701,5.000,101.0,47.0,-0.10256410390138626,0.0
2.447,13:00:19.524,536.656,0.829,444.748,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,46.701,5.000,101.0,47.0,0.1538461595773697,-0.10256410390138626
