t_s,clock,VDC,IDC,PDC,VG_A,VG_B,VG_C,IINV_A,IINV_B,IINV_C,STS,MODE,FAULT_FLAGS,FREQ,SET_FREQ,MOD_IDX,TEMP,STOP_REASON,FAULT_UV_CNT,FAULT_OC_CNT,IU_INST,IW_INST
0.110,13:09:43.663,534.291,0.738,394.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,5.000,5.000,0.103,47.513,5.000,103.0,47.0,-0.05128205195069313,-0.05128205195069313
0.446,13:09:43.807,536.211,0.772,413.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,47.860,5.000,103.0,47.0,-0.05128205195069313,-0.05128205195069313
0.590,13:09:43.871,536.211,0.772,413.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,47.860,5.000,103.0,47.0,-0.05128205195069313,-0.05128205195069313
0.653,13:09:43.934,536.211,0.772,413.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,47.860,5.000,103.0,47.0,-0.05128205195069313,-0.05128205195069313
0.717,13:09:44.078,536.211,0.772,413.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,47.896,5.000,103.0,47.0,-0.05128205195069313,-0.05128205195069313
0.861,13:09:44.142,536.135,0.771,413.144,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,47.896,5.000,103.0,47.0,-0.05128205195069313,-0.05128205195069313
0.925,13:09:44.206,536.135,0.771,413.144,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,47.896,5.000,103.0,47.0,-0.05128205195069313,-0.05128205195069313
0.990,13:09:44.624,536.135,0.771,413.144,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,47.896,5.000,103.0,47.0,-0.05128205195069313,-0.05128205195069313
1.406,13:09:44.958,536.123,0.773,414.661,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,47.839,5.000,103.0,47.0,-0.10256410390138626,0.0
1.741,13:09:45.101,536.087,0.776,415.827,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.519,0.700,0.011,47.743,5.000,103.0,47.0,-0.10256410390138626,0.0
1.885,13:09:45.166,536.087,0.776,415.827,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.519,0.700,0.011,47.743,5.000,103.0,47.0,-0.10256410390138626,0.0
1.949,13:09:45.230,536.095,0.775,415.450,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.519,0.700,0.011,47.743,5.000,103.0,47.0,-0.10256410390138626,0.0
2.013,13:09:45.375,536.095,0.775,415.450,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,47.683,5.000,103.0,47.0,-0.10256410390138626,0.0
2.157,13:09:45.438,536.095,0.775,415.450,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,47.683,5.000,103.0,47.0,-0.10256410390138626,0.0
2.221,13:09:45.502,536.095,0.775,415.450,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,47.683,5.000,103.0,47.0,-0.10256410390138626,0.0
2.285,13:09:45.646,536.095,0.775,415.450,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,47.683,5.000,103.0,47.0,-0.10256410390138626,0.0
2.428,13:09:45.902,536.103,0.778,417.088,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,47.683,5.000,103.0,47.0,0.10256410390138626,-0.1538461595773697
2.685,13:09:46.045,536.103,0.778,417.088,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.900,0.900,0.018,47.605,5.000,103.0,47.0,0.10256410390138626,-0.1538461595773697
2.828,13:09:46.109,536.058,0.778,417.103,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.900,0.900,0.018,47.605,5.000,103.0,47.0,0.10256410390138626,-0.1538461595773697
2.893,13:09:46.174,536.058,0.778,417.103,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.900,0.900,0.018,47.605,5.000,103.0,47.0,0.10256410390138626,-0.1538461595773697
2.957,13:09:46.317,536.058,0.778,417.103,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.100,1.100,0.023,47.519,5.000,103.0,47.0,0.10256410390138626,-0.1538461595773697
3.101,13:09:46.382,536.058,0.778,417.103,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.100,1.100,0.023,47.519,5.000,103.0,47.0,0.10256410390138626,-0.1538461595773697
3.164,13:09:46.445,536.021,0.801,429.155,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.100,1.100,0.023,47.519,5.000,103.0,47.0,0.10256410390138626,-0.1538461595773697
3.228,13:09:46.588,536.021,0.801,429.155,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.299,1.300,0.027,47.471,5.000,103.0,47.0,0.10256410390138626,-0.1538461595773697
3.372,13:09:46.653,536.021,0.801,429.155,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.299,1.300,0.027,47.471,5.000,103.0,47.0,0.10256410390138626,-0.1538461595773697
3.436,13:09:46.908,536.021,0.801,429.155,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.299,1.300,0.027,47.471,5.000,103.0,47.0,-1.2820513248443604,-0.20512820780277252
3.692,13:09:47.052,535.942,0.827,443.415,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.318,1.500,0.027,47.391,5.000,103.0,47.0,-1.2820513248443604,-0.20512820780277252
3.835,13:09:47.116,535.942,0.827,443.415,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.318,1.500,0.027,47.391,5.000,103.0,47.0,-1.2820513248443604,-0.20512820780277252
3.899,13:09:47.180,535.942,0.827,443.415,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.318,1.500,0.027,47.391,5.000,103.0,47.0,-1.2820513248443604,-0.20512820780277252
3.964,13:09:47.324,535.942,0.827,443.415,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.499,1.500,0.031,47.311,5.000,103.0,47.0,-1.2820513248443604,-0.20512820780277252
4.107,13:09:47.388,535.909,0.856,458.942,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.499,1.500,0.031,47.311,5.000,103.0,47.0,-1.2820513248443604,-0.20512820780277252
4.171,13:09:47.452,535.909,0.856,458.942,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.499,1.500,0.031,47.311,5.000,103.0,47.0,-1.2820513248443604,-0.20512820780277252
4.235,13:09:47.597,535.909,0.856,458.942,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.499,1.500,0.031,47.311,5.000,103.0,47.0,-1.2820513248443604,-0.20512820780277252
4.379,13:09:47.660,535.909,0.856,458.942,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.499,1.500,0.031,47.311,5.000,103.0,47.0,-1.2820513248443604,-0.20512820780277252
4.443,13:09:47.916,535.844,0.883,472.884,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.499,1.500,0.031,47.311,5.000,103.0,47.0,-2.0,3.9487178325653076
4.700,13:09:48.060,535.844,0.883,472.884,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.699,1.700,0.035,47.305,5.000,103.0,47.0,-2.0,3.9487178325653076
4.842,13:09:48.123,535.806,0.902,483.091,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.699,1.700,0.035,47.305,5.000,103.0,47.0,-2.0,3.9487178325653076
4.907,13:09:48.188,535.806,0.902,483.091,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.699,1.700,0.035,47.305,5.000,103.0,47.0,-2.0,3.9487178325653076
4.971,13:09:48.333,535.806,0.902,483.091,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.899,1.900,0.039,47.281,5.000,103.0,47.0,-2.0,3.9487178325653076
5.116,13:09:48.396,535.806,0.902,483.091,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.899,1.900,0.039,47.281,5.000,103.0,47.0,-2.0,3.9487178325653076
5.178,13:09:48.459,535.806,0.902,483.091,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.899,1.900,0.039,47.281,5.000,103.0,47.0,-2.0,3.9487178325653076
5.243,13:09:48.603,535.826,0.893,478.591,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.099,2.100,0.043,47.232,5.000,103.0,47.0,-2.0,3.9487178325653076
5.387,13:09:48.668,535.826,0.893,478.591,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.099,2.100,0.043,47.232,5.000,103.0,47.0,-2.0,3.9487178325653076
5.451,13:09:48.923,535.826,0.893,478.591,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.099,2.100,0.043,47.232,5.000,103.0,47.0,3.846153736114502,-2.153846263885498
5.707,13:09:49.067,535.809,0.903,483.985,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.119,2.300,0.043,47.221,5.000,103.0,47.0,3.846153736114502,-2.153846263885498
5.851,13:09:49.132,535.809,0.903,483.985,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.119,2.300,0.043,47.221,5.000,103.0,47.0,3.846153736114502,-2.153846263885498
5.915,13:09:49.196,535.809,0.903,483.985,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.119,2.300,0.043,47.221,5.000,103.0,47.0,3.846153736114502,-2.153846263885498
5.978,13:09:49.339,535.809,0.903,483.985,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.299,2.300,0.047,47.206,5.000,103.0,47.0,3.846153736114502,-2.153846263885498
6.123,13:09:49.404,535.749,0.941,504.178,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.299,2.300,0.047,47.206,5.000,103.0,47.0,3.846153736114502,-2.153846263885498
6.186,13:09:49.467,535.749,0.941,504.178,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.299,2.300,0.047,47.206,5.000,103.0,47.0,3.846153736114502,-2.153846263885498
6.251,13:09:49.611,535.749,0.941,504.178,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.299,2.300,0.047,47.206,5.000,103.0,47.0,3.846153736114502,-2.153846263885498
6.394,13:09:49.675,535.749,0.941,504.178,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.299,2.300,0.047,47.206,5.000,103.0,47.0,3.846153736114502,-2.153846263885498
6.459,13:09:49.932,535.690,0.985,527.835,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.299,2.300,0.047,47.206,5.000,103.0,47.0,5.282051086425781,-0.4615384638309479
6.713,13:09:50.074,535.690,0.985,527.835,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.499,2.500,0.051,47.189,5.000,103.0,47.0,5.282051086425781,-0.4615384638309479
6.857,13:09:50.138,535.669,1.014,543.273,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.499,2.500,0.051,47.189,5.000,103.0,47.0,5.282051086425781,-0.4615384638309479
6.921,13:09:50.202,535.669,1.014,543.273,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.499,2.500,0.051,47.189,5.000,103.0,47.0,5.282051086425781,-0.4615384638309479
6.985,13:09:50.346,535.669,1.014,543.273,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.700,2.700,0.055,47.191,5.000,103.0,47.0,5.282051086425781,-0.4615384638309479
7.129,13:09:50.410,535.669,1.014,543.273,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.700,2.700,0.055,47.191,5.000,103.0,47.0,5.282051086425781,-0.4615384638309479
7.193,13:09:50.474,535.669,1.014,543.273,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.700,2.700,0.055,47.191,5.000,103.0,47.0,5.282051086425781,-0.4615384638309479
7.257,13:09:50.618,535.633,1.018,545.031,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.900,2.900,0.060,47.197,5.000,103.0,47.0,5.282051086425781,-0.4615384638309479
7.401,13:09:50.682,535.633,1.018,545.031,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.900,2.900,0.060,47.197,5.000,103.0,47.0,5.282051086425781,-0.4615384638309479
7.465,13:09:50.938,535.633,1.018,545.031,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.900,2.900,0.060,47.197,5.000,103.0,47.0,5.897435665130615,-6.769230842590332
7.721,13:09:51.082,535.597,1.035,554.166,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.919,3.100,0.060,47.197,5.000,103.0,47.0,5.897435665130615,-6.769230842590332
7.865,13:09:51.146,535.597,1.035,554.166,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.919,3.100,0.060,47.197,5.000,103.0,47.0,5.897435665130615,-6.769230842590332
7.929,13:09:51.210,535.597,1.035,554.166,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.919,3.100,0.060,47.197,5.000,103.0,47.0,5.897435665130615,-6.769230842590332
7.993,13:09:51.354,535.597,1.035,554.166,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.100,3.100,0.064,47.212,5.000,103.0,47.0,5.897435665130615,-6.769230842590332
8.137,13:09:51.417,535.545,1.076,576.481,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.100,3.100,0.064,47.212,5.000,103.0,47.0,5.897435665130615,-6.769230842590332
8.201,13:09:51.481,535.545,1.076,576.481,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.100,3.100,0.064,47.212,5.000,103.0,47.0,5.897435665130615,-6.769230842590332
8.265,13:09:51.625,535.545,1.076,576.481,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.100,3.100,0.064,47.212,5.000,103.0,47.0,5.897435665130615,-6.769230842590332
8.408,13:09:51.689,535.545,1.076,576.481,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.100,3.100,0.064,47.212,5.000,103.0,47.0,5.897435665130615,-6.769230842590332
8.472,13:09:51.945,535.497,1.127,603.449,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.100,3.100,0.064,47.212,5.000,103.0,47.0,0.41025641560554504,7.897435665130615
8.728,13:09:52.089,535.497,1.127,603.449,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.300,3.300,0.068,47.256,5.000,103.0,47.0,0.41025641560554504,7.897435665130615
