t_s,clock,VDC,IDC,PDC,VG_A,VG_B,VG_C,IINV_A,IINV_B,IINV_C,STS,MODE,FAULT_FLAGS,FREQ,SET_FREQ,MOD_IDX,TEMP,STOP_REASON,ADC_B_RAW,ADC_B_OFS,XSPARE5,FAULT_UV_CNT
0.063,13:14:44.490,446.994,10.461,4676.200,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,30.018,29.837,0.739,52.991,5.000,0.10000000149011612,371.8241882324219,399.0,103.0
0.399,13:14:44.634,450.100,10.103,4547.546,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,29.656,29.837,0.725,52.994,5.000,0.10000000149011612,371.8241882324219,399.0,103.0
0.543,13:14:44.699,450.100,10.103,4547.546,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,29.656,29.837,0.725,52.994,5.000,0.10000000149011612,371.8241882324219,399.0,103.0
0.607,13:14:44.763,450.100,10.103,4547.546,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,29.656,29.837,0.725,52.994,5.000,0.10000000149011612,371.8241882324219,399.0,103.0
0.671,13:14:44.906,450.100,10.103,4547.546,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,30.017,29.837,0.741,53.002,5.000,0.10000000149011612,371.8241882324219,399.0,103.0
0.814,13:14:44.970,445.390,10.642,4739.919,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,30.017,29.837,0.741,53.002,5.000,0.10000000149011612,371.8241882324219,399.0,103.0
0.879,13:14:45.034,445.390,10.642,4739.919,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,30.017,29.837,0.741,53.002,5.000,0.10000000149011612,371.8241882324219,399.0,103.0
0.943,13:14:45.178,445.390,10.642,4739.919,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,30.017,29.837,0.741,53.002,5.000,0.10000000149011612,371.8241882324219,399.0,103.0
1.086,13:14:45.434,445.390,10.642,4739.919,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,30.017,29.837,0.741,53.002,5.000,0.10000000149011612,371.8241882324219,399.0,103.0
1.343,13:14:45.579,448.710,10.271,4608.786,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,29.618,29.437,0.726,52.945,5.000,0.10000000149011612,371.8241882324219,399.0,103.0
1.486,13:14:45.641,448.710,10.271,4608.786,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,29.618,29.437,0.726,52.945,5.000,0.10000000149011612,371.8241882324219,399.0,103.0
