t_s,clock,VDC,IDC,PDC,VG_A,VG_B,VG_C,IINV_A,IINV_B,IINV_C,STS,MODE,FAULT_FLAGS,FREQ,SET_FREQ,MOD_IDX,TEMP,STOP_REASON,ADC_B_RAW,ADC_B_OFS,XSPARE5,ISR_CNT
0.110,13:18:02.209,534.990,0.767,410.465,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,5.000,5.000,0.103,49.356,5.000,0.0,0.0,0.0,1.0
0.446,13:18:02.353,536.864,0.800,429.272,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,49.773,5.000,0.0,0.0,0.0,1.0
0.590,13:18:02.417,536.864,0.800,429.272,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,49.773,5.000,0.0,0.0,0.0,1.0
0.654,13:18:02.481,536.864,0.800,429.272,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,49.773,5.000,0.0,0.0,0.0,1.0
0.718,13:18:02.625,536.864,0.800,429.272,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,49.689,5.000,0.0,0.0,0.0,1.0
0.862,13:18:02.689,536.776,0.799,429.111,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,49.689,5.000,0.0,0.0,0.0,1.0
0.926,13:18:02.753,536.776,0.799,429.111,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,49.689,5.000,0.0,0.0,0.0,1.0
0.989,13:18:02.898,536.776,0.799,429.111,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,49.689,5.000,0.0,0.0,0.0,1.0
1.134,13:18:03.152,536.724,0.802,430.708,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,49.689,5.000,999.0,534.5274658203125,0.0,1.0
1.390,13:18:03.296,536.724,0.802,430.708,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,49.602,5.000,999.0,534.5274658203125,0.0,1.0
1.534,13:18:03.361,536.724,0.802,430.708,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,49.602,5.000,999.0,534.5274658203125,0.0,1.0
1.597,13:18:03.425,536.691,0.802,430.158,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,49.602,5.000,999.0,534.5274658203125,0.0,1.0
1.662,13:18:03.569,536.691,0.802,430.158,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.519,0.700,0.011,49.519,5.000,999.0,534.5274658203125,0.0,1.0
1.805,13:18:03.632,536.691,0.802,430.158,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.519,0.700,0.011,49.519,5.000,999.0,534.5274658203125,0.0,1.0
1.869,13:18:03.696,536.691,0.802,430.158,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.519,0.700,0.011,49.519,5.000,999.0,534.5274658203125,0.0,1.0
1.933,13:18:03.840,536.691,0.802,430.158,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,49.441,5.000,999.0,534.5274658203125,0.0,1.0
2.077,13:18:03.905,536.666,0.802,430.177,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,49.441,5.000,999.0,534.5274658203125,0.0,1.0
2.141,13:18:04.160,536.666,0.802,430.177,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,49.441,5.000,999.0,534.5274658203125,0.0,1.0
2.397,13:18:04.305,536.655,0.801,429.764,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.900,0.900,0.018,49.363,5.000,999.0,534.5274658203125,0.0,1.0
2.541,13:18:04.369,536.655,0.801,429.764,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.900,0.900,0.018,49.363,5.000,999.0,534.5274658203125,0.0,1.0
2.604,13:18:04.432,536.655,0.801,429.764,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.900,0.900,0.018,49.363,5.000,999.0,534.5274658203125,0.0,1.0
2.668,13:18:04.576,536.655,0.801,429.764,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.900,0.900,0.018,49.363,5.000,999.0,534.5274658203125,0.0,1.0
2.812,13:18:04.639,536.634,0.810,434.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.900,0.900,0.018,49.363,5.000,999.0,534.5274658203125,0.0,1.0
2.877,13:18:04.704,536.634,0.810,434.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.900,0.900,0.018,49.363,5.000,999.0,534.5274658203125,0.0,1.0
2.940,13:18:04.847,536.634,0.810,434.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.100,1.100,0.023,49.279,5.000,999.0,534.5274658203125,0.0,1.0
3.085,13:18:04.912,536.634,0.810,434.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.100,1.100,0.023,49.279,5.000,999.0,534.5274658203125,0.0,1.0
3.149,13:18:05.167,536.634,0.810,434.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.100,1.100,0.023,49.279,5.000,999.0,534.5274658203125,0.0,1.0
3.404,13:18:05.312,536.611,0.828,444.525,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.299,1.300,0.027,49.223,5.000,999.0,534.5274658203125,0.0,1.0
3.548,13:18:05.376,536.611,0.828,444.525,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.299,1.300,0.027,49.223,5.000,999.0,534.5274658203125,0.0,1.0
3.612,13:18:05.440,536.510,0.853,457.707,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.299,1.300,0.027,49.223,5.000,999.0,534.5274658203125,0.0,1.0
