iso,t_s,VDC,IDC,P_W,hz,modidx,sts,Q_m3h,meter_m3,kWh,m3
2026-09-14T13:58:47,0.3,535.0,0.79,421,5.00,0.103,0,4.15,5469.126,0.0000,0.0000
2026-09-14T13:58:50,3.5,536.6,0.86,464,1.30,0.027,1,1.97,5469.129,0.0004,0.0017
2026-09-14T13:58:53,6.7,536.2,1.05,565,2.50,0.051,1,0.78,5469.130,0.0009,0.0024
2026-09-14T13:58:56,9.9,535.8,1.31,703,3.72,0.076,1,0.00,5469.130,0.0015,0.0024
2026-09-14T13:59:00,13.0,534.9,1.83,977,4.90,0.101,1,0.00,5469.130,0.0024,0.0024
2026-09-14T13:59:03,16.2,535.3,1.52,812,6.12,0.126,1,0.00,5469.130,0.0031,0.0024
2026-09-14T13:59:06,19.4,535.1,1.67,892,7.50,0.154,1,-0.64,5469.130,0.0039,0.0024
2026-09-14T13:59:09,22.6,534.9,1.77,948,8.70,0.179,1,-0.67,5469.130,0.0048,0.0024
2026-09-14T13:59:12,25.8,534.6,1.92,1029,10.12,0.208,1,-0.67,5469.130,0.0057,0.0024
2026-09-14T13:59:16,29.0,533.2,2.61,1392,15.32,0.316,1,-0.67,5469.130,0.0069,0.0024
2026-09-14T13:59:19,32.2,530.9,3.77,2002,20.92,0.433,1,-0.69,5469.130,0.0087,0.0024
2026-09-14T13:59:22,35.4,526.8,5.96,3140,27.32,0.570,1,-0.70,5469.130,0.0115,0.0024
2026-09-14T13:59:25,38.6,518.1,10.97,5683,32.52,0.690,1,0.00,5469.130,0.0165,0.0024
2026-09-14T13:59:28,41.8,504.2,18.23,9192,38.92,0.849,1,2.22,5469.130,0.0247,0.0044
2026-09-14T13:59:32,45.0,477.2,28.64,13665,45.32,0.940,1,9.74,5469.137,0.0368,0.0131
2026-09-14T13:59:35,48.2,466.2,31.56,14715,46.52,0.940,1,22.08,5469.151,0.0499,0.0327
2026-09-14T13:59:38,51.4,466.3,31.58,14723,46.52,0.940,1,34.88,5469.175,0.0630,0.0637
2026-09-14T13:59:41,54.6,463.8,32.15,14909,46.88,0.940,1,43.87,5469.207,0.0762,0.1026
2026-09-14T13:59:44,57.8,469.3,30.94,14517,46.52,0.940,1,49.75,5469.246,0.0891,0.1468
2026-09-14T13:59:48,61.0,463.1,32.30,14957,46.88,0.940,1,52.69,5469.303,0.1024,0.1936
2026-09-14T13:59:51,64.2,462.9,32.35,14976,46.88,0.940,1,54.18,5469.348,0.1157,0.2418
2026-09-14T13:59:54,67.4,464.4,32.00,14858,46.88,0.940,1,54.83,5469.393,0.1289,0.2905
2026-09-14T13:59:57,70.6,463.5,32.16,14910,46.88,0.940,1,55.20,5469.439,0.1422,0.3395
2026-09-14T14:00:00,73.8,466.7,31.48,14690,46.88,0.940,1,55.28,5469.485,0.1552,0.3886
2026-09-14T14:00:04,77.0,459.7,32.98,15163,47.28,0.940,1,55.15,5469.547,0.1687,0.4376
2026-09-14T14:00:07,80.2,464.0,32.15,14920,46.88,0.940,1,55.03,5469.593,0.1819,0.4865
2026-09-14T14:00:10,83.4,463.6,32.23,14942,46.92,0.940,1,54.92,5469.638,0.1952,0.5353
2026-09-14T14:00:13,86.6,463.5,32.25,14949,46.92,0.940,1,54.92,5469.684,0.2085,0.5841
2026-09-14T14:00:16,89.8,464.6,32.04,14886,46.88,0.940,1,54.87,5469.730,0.2216,0.6326
2026-09-14T14:00:20,93.0,468.4,31.22,14623,46.52,0.940,1,54.88,5469.791,0.2346,0.6813
2026-09-14T14:00:23,96.2,467.8,31.36,14669,46.52,0.940,1,54.91,5469.837,0.2477,0.7301
2026-09-14T14:00:26,99.4,467.5,31.41,14683,46.52,0.940,1,54.86,5469.882,0.2607,0.7788
2026-09-14T14:00:29,102.6,456.9,33.45,15282,47.68,0.940,1,54.72,5469.928,0.2743,0.8275
2026-09-14T14:00:32,105.8,462.8,32.40,14997,47.28,0.940,1,54.50,5469.974,0.2876,0.8758
2026-09-14T14:00:36,109.0,468.2,31.30,14654,46.52,0.940,1,54.29,5470.034,0.3006,0.9241
2026-09-14T14:00:39,112.2,466.2,31.75,14800,46.88,0.940,1,54.19,5470.079,0.3138,0.9722
2026-09-14T14:00:42,115.4,462.7,32.45,15014,47.28,0.940,1,54.17,5470.124,0.3271,1.0203
2026-09-14T14:00:45,118.6,464.4,32.13,14920,46.88,0.940,1,54.22,5470.169,0.3404,1.0685
2026-09-14T14:00:48,121.8,467.9,31.39,14688,46.92,0.940,1,54.24,5470.215,0.3534,1.1167
2026-09-14T14:00:52,125.0,466.5,31.61,14745,46.88,0.940,1,54.20,5470.275,0.3665,1.1648
2026-09-14T14:00:55,128.2,467.1,31.49,14708,46.88,0.940,1,54.14,5470.320,0.3796,1.2132
2026-09-14T14:00:58,131.4,468.1,31.28,14642,46.52,0.940,1,54.12,5470.365,0.3926,1.2613
2026-09-14T14:01:01,134.6,471.5,30.51,14386,46.52,0.940,1,54.10,5470.410,0.4054,1.3093
2026-09-14T14:01:04,137.8,469.2,31.11,14599,46.52,0.940,1,54.02,5470.455,0.4184,1.3573
2026-09-14T14:01:08,141.0,468.7,31.22,14630,46.48,0.940,1,53.93,5470.515,0.4314,1.4052
2026-09-14T14:01:11,144.2,468.3,31.30,14659,46.48,0.940,1,53.86,5470.560,0.4444,1.4531
