iso,t_s,VDC,IDC,P_W,hz,modidx,sts,Q_m3h,meter_m3,kWh,m3
2026-09-14T14:03:31,0.2,471.7,30.54,14406,46.52,0.940,1,53.32,5472.645,0.0000,0.0000
2026-09-14T14:03:34,3.4,469.7,31.01,14564,46.48,0.940,1,53.30,5472.690,0.0129,0.0473
2026-09-14T14:03:37,6.6,467.1,31.54,14733,46.88,0.940,1,53.42,5472.734,0.0260,0.0948
2026-09-14T14:03:40,9.8,464.1,32.13,14914,46.88,0.940,1,53.38,5472.779,0.0393,0.1422
2026-09-14T14:03:44,13.0,463.7,32.18,14923,46.88,0.940,1,53.38,5472.838,0.0525,0.1896
2026-09-14T14:03:47,16.2,470.5,30.73,14458,46.52,0.940,1,53.32,5472.882,0.0654,0.2370
2026-09-14T14:03:50,19.4,468.7,31.14,14592,46.48,0.940,1,53.29,5472.927,0.0783,0.2843
2026-09-14T14:03:53,22.6,468.4,31.19,14609,46.52,0.940,1,53.24,5472.971,0.0913,0.3316
2026-09-14T14:03:56,25.8,470.3,30.86,14512,46.52,0.940,1,53.17,5473.016,0.1042,0.3788
2026-09-14T14:04:00,29.0,467.0,31.56,14740,46.92,0.940,1,53.10,5473.060,0.1173,0.4260
2026-09-14T14:04:03,32.2,464.3,32.11,14909,46.92,0.940,1,53.07,5473.119,0.1305,0.4732
2026-09-14T14:04:06,35.4,468.0,31.36,14678,46.92,0.940,1,53.13,5473.163,0.1436,0.5204
2026-09-14T14:04:09,38.6,462.0,32.51,15019,47.28,0.940,1,53.19,5473.207,0.1569,0.5676
2026-09-14T14:04:12,41.8,471.3,30.63,14435,46.48,0.940,1,53.28,5473.252,0.1697,0.6150
2026-09-14T14:04:16,45.0,468.6,31.23,14633,46.52,0.940,1,53.35,5473.311,0.1827,0.6623
2026-09-14T14:04:19,48.2,466.5,31.66,14769,46.88,0.940,1,53.50,5473.355,0.1959,0.7099
2026-09-14T14:04:22,51.3,467.0,31.54,14730,46.88,0.940,1,53.63,5473.400,0.2089,0.7573
2026-09-14T14:04:25,54.5,468.7,31.20,14624,46.48,0.940,1,53.66,5473.445,0.2219,0.8049
2026-09-14T14:04:28,57.7,471.5,30.55,14406,46.52,0.940,1,53.58,5473.490,0.2347,0.8525
2026-09-14T14:04:32,60.9,466.4,31.65,14763,46.92,0.940,1,53.51,5473.549,0.2478,0.9001
2026-09-14T14:04:35,64.1,469.1,31.09,14586,46.52,0.940,1,53.44,5473.594,0.2607,0.9475
2026-09-14T14:04:38,67.3,468.6,31.19,14618,46.52,0.940,1,53.45,5473.638,0.2737,0.9950
2026-09-14T14:04:41,70.5,471.5,30.54,14401,46.52,0.940,1,53.50,5473.683,0.2865,1.0425
2026-09-14T14:04:44,73.7,468.9,31.03,14549,46.48,0.940,1,53.58,5473.727,0.2994,1.0901
2026-09-14T14:04:47,76.9,466.9,31.43,14673,46.88,0.940,1,53.59,5473.787,0.3125,1.1377
2026-09-14T14:04:51,80.1,470.7,30.59,14400,46.48,0.940,1,53.51,5473.831,0.3253,1.1853
2026-09-14T14:04:54,83.3,467.4,31.30,14631,46.52,0.940,1,53.54,5473.876,0.3383,1.2328
2026-09-14T14:04:57,86.5,464.0,32.04,14866,46.88,0.940,1,53.61,5473.921,0.3515,1.2805
2026-09-14T14:05:00,89.7,468.0,31.23,14616,46.48,0.940,1,53.62,5473.965,0.3645,1.3281
2026-09-14T14:05:03,92.9,467.4,31.34,14649,46.52,0.940,1,53.43,5474.010,0.3775,1.3756
2026-09-14T14:05:07,96.1,465.5,31.73,14769,46.88,0.940,1,53.24,5474.069,0.3906,1.4228
2026-09-14T14:05:10,99.3,468.2,31.15,14587,46.52,0.940,1,53.11,5474.114,0.4035,1.4700
2026-09-14T14:05:13,102.5,466.6,31.47,14684,46.88,0.940,1,53.14,5474.158,0.4166,1.5172
2026-09-14T14:05:16,105.7,466.8,31.44,14676,46.88,0.940,1,53.13,5474.202,0.4296,1.5644
2026-09-14T14:05:19,108.9,472.0,30.25,14281,46.12,0.940,1,53.09,5474.246,0.4423,1.6116
2026-09-14T14:05:23,112.1,466.1,31.54,14701,46.88,0.940,1,53.00,5474.305,0.4554,1.6587
2026-09-14T14:05:26,115.3,470.4,30.60,14395,46.52,0.940,1,53.07,5474.349,0.4682,1.7058
2026-09-14T14:05:29,118.5,470.4,30.60,14395,46.52,0.940,1,53.24,5474.394,0.4810,1.7531
2026-09-14T14:05:33,122.2,467.9,31.14,14571,46.52,0.940,1,,,0.4961,1.7531
2026-09-14T14:05:36,125.5,467.1,31.29,14613,46.52,0.940,1,53.20,5474.497,0.5091,1.8005
2026-09-14T14:05:39,128.7,466.1,31.46,14664,46.88,0.940,1,53.09,5474.542,0.5222,1.8477
2026-09-14T14:05:42,131.9,464.6,31.65,14706,46.88,0.940,1,53.18,5474.586,0.5352,1.8949
2026-09-14T14:05:46,135.1,464.8,31.60,14685,46.88,0.940,1,53.32,5474.645,0.5483,1.9423
2026-09-14T14:05:49,138.2,466.0,31.34,14606,46.52,0.940,1,53.44,5474.690,0.5613,1.9898
2026-09-14T14:05:52,141.4,468.1,30.96,14492,46.52,0.940,1,53.49,5474.734,0.5741,2.0373
2026-09-14T14:05:55,144.6,468.4,30.86,14455,46.52,0.940,1,53.55,5474.779,0.5870,2.0848
